channel_name,video_count,subscriber_count,view_count,like_count,comment_count,join_date,country,description,link
DeepLearningAI,319,272000,11306319,130976.0,4322.0,2017-08-22T22:27:58Z,Not available,"Welcome to the official DeepLearning.AI YouTube channel! Here you can find the videos from our Coursera programs on machine learning as well as recorded events.

DeepLearning.AI was founded in 2017 by machine learning and education pioneer Andrew Ng to fill a need for world-class AI education.

DeepLearning.AI has created high-quality AI programs on Coursera that have gained an extensive global following. By providing a platform for education and fostering a tight-knit community, DeepLearning.AI has become the pathway for anyone looking to build an AI career.
",https://www.youtube.com/channel/UCcIXc5mJsHVYTZR1maL5l9w
3Blue1Brown,155,5770000,420677024,11791175.0,377602.0,2015-03-03T23:11:55Z,United States,"My name is Grant Sanderson. Videos here cover a variety of topics in math, or adjacent fields like physics and CS, all with an emphasis on visualizing the core ideas. To goal is to use animation to help elucidate and motivate otherwise tricky topics, and for difficult problems to be made simple with changes in perspective.

For more information, other projects, FAQs, and inquiries see the website: https://www.3blue1brown.com",https://www.youtube.com/channel/UCYO_jab_esuFRV4b17AJtAw
Joma Tech,95,2270000,178760989,6481158.0,202994.0,2016-08-31T22:22:07Z,United States,"I talk about life in Silicon Valley and at big tech companies.

Follow me on:
Instagram: http://instagram.com/jomakaze
Twitter: https://twitter.com/jomakaze

Business inquiries: business@joma.io
",https://www.youtube.com/channel/UCV0qA-eDDICsRR9rPcnG7tw
DataCamp,437,155000,12866441,17380.0,680.0,2014-03-25T14:48:01Z,United States,"Welcome to DataCamp's official YouTube channel, your premier resource for data science and AI learning! DataCamp is an interactive learning platform aimed at democratizing data science and AI education. Our mission? To empower everyone with the skills to understand, analyze, and interpret data.

Our channel offers educational content, expert talks, and tutorials in data science, AI, machine learning, data visualization, and more. All levels are welcome, from aspiring data scientists to seasoned professionals looking to hone their skills.

Visit our website: https://www.datacamp.com/

Follow us:
Facebook: https://www.facebook.com/datacampinc/
Twitter: https://twitter.com/DataCamp
Instagram: https://www.instagram.com/datacamp
LinkedIn: https://www.linkedin.com/school/datacampinc/

Join us in the data and AI revolution! #DataCamp #DataScience #AI
",https://www.youtube.com/channel/UC79Gv3mYp6zKiSwYemEik9A
CS Dojo,95,1920000,76016992,1879873.0,82131.0,2016-02-26T01:49:30Z,Canada,"Hello! My name is YK, and I usually make videos about programming and computer science here :)

Business email: https://www.csdojo.io/contact/
The logo was made by: my friend Youdong Zhang
",https://www.youtube.com/channel/UCxX9wt5FWQUAAz4UrysqK9A
sentdex,501,1280000,60203871,847653.0,76757.0,2012-12-16T20:49:11Z,United States,"Python Programming tutorials, going further than just the basics. Learn about machine learning, finance, data analysis, robotics, web development, game development and more.

I have ~1000 videos, all of which do not fit on the front page. Try searching on the channel page, or via https://pythonprogramming.net. If you cannot find something, just ask! 

Bitcoin donations: 1GV7srgR4NJx4vrk7avCmmVQQrqmv87ty6
Paypal donations: HSKinsley@gmail.com",https://www.youtube.com/channel/UCfzlCWGWYyIQ0aLC5w48gBQ
StatQuest with Josh Starmer,263,1070000,56419479,1244841.0,85855.0,2011-05-24T01:52:48Z,United States,"Statistics, Machine Learning and Data Science can sometimes seem like very scary topics, but since each technique is really just a combination of small and simple steps, they are actually quite simple. My goal with StatQuest is to break down the major methodologies into easy to understand pieces. That said, I don't dumb down the material. Instead, I build up your understanding so that you are smarter.

Contact, Video Index, Etc: https://statquest.org",https://www.youtube.com/channel/UCtYLUTtgS3k1Fg4y5tAhLbw
Tech With Tim,464,1400000,76914763,2185506.0,78572.0,2014-04-23T01:57:10Z,Canada,"Learn programming, software engineering, machine learning and everything tech from this channel. With a special emphasis on python and javascript my channel aims to give you free resources so that you can learn to code and dive into the software engineering and programming industry. My goal is to provide the highest quality programming and tech videos on the internet! ",https://www.youtube.com/channel/UC4JX40jDee_tINbkjycV4Sg
365 Data Science,222,304000,13610599,269761.0,7674.0,2017-08-07T15:17:05Z,Bulgaria,"At 365 Data Science we make #DataScience accessible to all by providing the highest quality online data science education. Our courses are designed to build up your skill set from beginner to job-ready, regardless of your current level, background education, and experience.

Our data science program helps students and young professionals embark on a career as a data scientist. Demand for qualified data scientists is at an all-time high and traditional degrees are simply too expensive, time-consuming or rigid to meet the majority of needs. Our mission is to close that gap. 

We provide high quality, affordable training to open new opportunities for students and professionals all over the world. 
We constantly improve our program offering and the customer experience.
We’ve Helped More than 1 Million Student differentiate themselves by providing them with:

• 217+ Hours of video
• 1,980+ Lessons
• 64+ Courses
• 2M+ Students

Ready to Start Your Career?
",https://www.youtube.com/channel/UCEBpSZhI1X8WaP-kY_2LLcg
Data Professor,286,172000,5077282,127798.0,12465.0,2019-08-17T15:59:56Z,Thailand,"Data Science, Machine Learning, Bioinformatics, Research and Teaching are my passion. The Data Professor YouTube channel is an extension of my passion in helping students and data enthusiast learn about Data Science and how it can be used to make sense of data. This channel provides Data Science contents consisting of explainer videos and practical tutorials.

Chanin Nantasenamat, Ph.D. was an Associate Professor of Bioinformatics at a Research University where he led a research laboratory that harnesses data science for unraveling the hidden knowledge of big data in medicine. Chanin has more than 15 years of experience in data science (as applied to bioinformatics) and has published more than 160 research articles, review articles and book chapters.

If you are fascinated about data science, it would mean the world to me if you would consider subscribing to this channel (by clicking the link below):
http://bit.ly/dataprofessor

รศ.ดร.ชนินทร์ นันทเสนามาตร์ ",https://www.youtube.com/channel/UCV8e2g4IWQqK71bbzGDEI4Q
