video_id,title,published,view_count,like_count,comment_count,duration,definition,tags,default_audio_language,madeforkid,channel_id,channelTitle
a_l991xUAOU,Type I error vs Type II error,2017-08-11T15:52:24Z,432882,7341,202,PT3M31S,hd,"['statistics', 'data science', '365 datascience', '365datascience', '365 data science', 'type I error', 'type II error', 'type 1 error', 'type 2 error', 'error type 1', 'error type 2', 'statistical errors', 'false positive', 'false negative', 'statistics tutorial', 'type 1 error and type 2 error', 'type 1 error and type 2 error in hypothesis testing', 'type 2 error statistics', 'type 1 error statistics', 'type i error and type ii error', 'type i error and type ii error examples', 'type i error vs type ii error']",en,False,UCEBpSZhI1X8WaP-kY_2LLcg,365 Data Science
AHR_7jFCMeY,What Is a Data Warehouse?,2020-06-04T15:59:57Z,269035,5893,74,PT3M32S,hd,"['What is Data Warehouse', 'data warehouse', 'data warehouse definition', 'data warehouse example', 'types of data warehouse', 'data warehouse vs database', 'data warehouse architecture', 'data warehouse software', 'data warehouse concepts', 'snowflake data warehouse', 'data warehousing', 'data warehouse tutorial', 'data warehouse tutorial for beginners', 'data warehousing tutorial', 'data warehouse basics', 'Introduction to Data warehouse', 'how data warehouse works', 'data warehouse implementations']",en,False,UCEBpSZhI1X8WaP-kY_2LLcg,365 Data Science
eghn__C7JLQ,Data Science & Statistics: Levels of measurement,2017-08-11T13:19:26Z,121404,1497,23,PT2M42S,hd,"['levels of measurement', 'measurement', 'nominal', 'ordinal', 'interval', 'ratio', 'types of data', 'introduction to statistics', 'measuring scale', 'types of scales', 'levels of measurement in statistics', 'nominal ordinal interval ratio', 'level of measurement statistics', 'level of measurement', 'scale of measurement statistics', 'scales of measurement', 'qualitative and quantitative data', 'Nominal variables', 'what is the level of measurement for temperature', 'temperature level of measurement', 'statistics', 'big data']",en,False,UCEBpSZhI1X8WaP-kY_2LLcg,365 Data Science
uswU1s3M2VE,What Is Data Science? (Explained in 5 Minutes),2021-05-20T14:00:30Z,164831,5079,77,PT5M22S,hd,"['data science', '365 datascience', '365datascience', '365 data science', 'machine learning', 'statistics', 'deep learning', 'what is data science', 'what is data science and big data analytics', 'why data science', 'how to learn data science', 'data science for beginners', 'data science course', 'intro to data science', 'learn data science', 'data science career', 'introduction to data science', 'data science algorithms', 'data science jobs', 'data science introduction']",en,False,UCEBpSZhI1X8WaP-kY_2LLcg,365 Data Science
b5xQmk9veZ4,Central limit theorem,2017-08-11T15:25:44Z,186956,2753,41,PT3M42S,hd,"['central limit theorem', 'data science', 'datascience', '365 data science', '365datascience', '365 datascience', 'central', 'limit', 'theorem', 'normal distribution', 'distribution', 'central limit theorem in hindi', 'central limit theorem explained', 'the central limit theorem', 'central limit theorem example', 'central limit theorem statistics', 'central limit theorem probability', 'what is central limit theorem', 'central limit theorem شرح', 'central limit theorem proof', 'théorème central limite', 'stats', 'math', 'statistics', 'data']",en,False,UCEBpSZhI1X8WaP-kY_2LLcg,365 Data Science
BbLfV0wOeyc,Data Science & Statistics Tutorial: The Poisson Distribution,2019-07-23T11:47:29Z,127433,3023,66,PT5M9S,hd,"['statistics', 'data science', '365 datascience', '365 data science', '365datascience', 'poisson distribution', 'poisson distribution formula', 'poisson process', 'poisson distribution examples', 'poisson probability distribution', 'poisson probability', 'poisson statistics', 'statistics tutorials', 'probability', 'introduction to probability', 'probability and statistics', 'distribution', 'poisson distribution probability', 'poisson distribution excel', 'the poisson distribution', 'statistics for data science']",en,False,UCEBpSZhI1X8WaP-kY_2LLcg,365 Data Science
26GlYvcYZiI,How to Become a Business Intelligence Analyst,2019-09-17T14:32:57Z,398841,9784,173,PT8M44S,hd,"['data science', '365 data science', 'how to become a business intelligence analyst', 'how to become a bi analyst', 'bi analyst', 'business intelligence analyst', 'become a business intelligence analyst', 'How much do business intelligence analysts make?', 'what does a bi analyst do', 'business intelligence', 'business intelligence analyst salary', 'bi analyst career path', 'what does a business intelligence specialist do?', 'business intelligence tutorial', 'what is business intelligence', 'datascience']",en,False,UCEBpSZhI1X8WaP-kY_2LLcg,365 Data Science
32CuxWdOlow,Student's T Distribution,2017-08-11T15:43:44Z,188828,2362,37,PT3M11S,hd,"[""student's t distribution"", 'student distribution', 'student t', 'student-t distribution', 'students t distribution', 't distribution statistics', 't distribution examples', 't student distribution', ""student's distribution"", ""student's t"", ""student's t-distribution"", 'student t distribution', 'statistics t distribution', 't distribution', 'student t-distribution', 't distribution formula', 'students t', 'student t distribution formula', 'what is t distribution in statistics', 'student’s t-distribution']",en,False,UCEBpSZhI1X8WaP-kY_2LLcg,365 Data Science
eIZD1BFfw8E,Population vs Sample,2017-08-11T09:12:05Z,446596,3973,71,PT3M54S,hd,"['statistics', 'data science', '365 data science', '365datascience', 'datascience', 'population', 'sample', 'population and sample', 'population vs sample', 'sampling', 'statistics 101', 'data', 'analyst', 'data analyst', 'population statistics', 'ap statistics', 'ap stats', 'stats course', 'statistics tutorial', 'math', 'stats', 'sample vs population statistics', 'small sample confidence interval for a population proportion', 'population sample parameter statistic', 'population vs sample statistics', 'population vs sample example']",en,False,UCEBpSZhI1X8WaP-kY_2LLcg,365 Data Science
b9a27XN_6tg,Probability: Types of Distributions,2019-03-18T10:30:52Z,316152,6685,100,PT7M24S,hd,"['probability', 'distribution', 'types of distribution', 'types of data', 'minimum distribution', 'binomial distribution', 'binomial probability', 'binomial probability distribution', 'normal distribution', 'normal distribution curve', 'exponential distribution', 'probability distribution', 'types of distribution in statistics', 'probability distribution statistics', 'probability distributions', 'types of probability distribution', 'types of probability', 'statistics distribution', 'distribution statistics', 'big data']",en,False,UCEBpSZhI1X8WaP-kY_2LLcg,365 Data Science
