Comment_id,author,Reply_for,Type,video_id,total_reply,like_count,published_at,textdisplay,updatedat
UgxFhnV-GMjQooTuN_x4AaABAg,@tristandevignemont1291,,1,QCX62YJCmGk,0,0,2023-12-21T22:48:29Z,Math became magic,2023-12-21T22:48:29Z
UgyypszzOn4EYj4f32Z4AaABAg,@unveil7762,,1,QCX62YJCmGk,0,0,2023-12-21T17:26:39Z,GLSL Time…. I will watch the end of the video later. But i have an idea why is diagonal: look at the shape of a hsv color space. Is like 3 L repeating.  Water(any material) bend the  90 degrees of the L. This also explain why you can also move the color rotating… the example is an analog HSV color space!!!… (bended ),2023-12-21T17:27:48Z
UgxcQbUsvUC9EJ4kJx94AaABAg,@aabnamak,,1,QCX62YJCmGk,0,0,2023-12-21T06:22:41Z,"I wonder what would happen if we had a longer cylinder? Would we see the colors repeat, or would the whole thing stretch across the cylinder like it has in this demo?",2023-12-21T06:22:41Z
Ugw1Cn0ITqQB6MSXKMd4AaABAg,@geo17139,,1,QCX62YJCmGk,0,0,2023-12-20T19:28:45Z,This is the same thing with a video with some pendulums that start with the same initial condition but they eventually go all over the place and then back again synchronize with the same frequency and again ...,2023-12-20T19:28:45Z
UgxSc42BmaQ54IJ1uF54AaABAg,@sidereon9793,,1,QCX62YJCmGk,0,0,2023-12-19T05:25:27Z,"(me, having taken exactly one Astronomy class in college) oh, like spectroscopy!",2023-12-19T05:25:27Z
Ugw5GCv9IshLFYxhI4N4AaABAg,@danielcox3983,,1,QCX62YJCmGk,0,0,2023-12-19T04:08:05Z,Make the cylinder with sugar water rotate counter to the polarization twist. It might make it look cool. Maybe get the Slo Mo Guys too.,2023-12-19T04:08:05Z
UgzVYYTs31FSK-tRzQ94AaABAg,@pythonboi5816,,1,QCX62YJCmGk,0,1,2023-12-19T02:16:59Z,Guys look a multi colored LED,2023-12-19T02:16:59Z
Ugwx1RkVPH2t5HnHLvl4AaABAg,@meltinginmissoula7044,,1,QCX62YJCmGk,0,0,2023-12-18T14:34:01Z,I still don’t think a sine wave is adequate for the transmission representation.,2023-12-18T14:34:01Z
Ugw3aEzyHzKHtxA3wyd4AaABAg,@kkr9925,,1,QCX62YJCmGk,0,0,2023-12-18T13:58:59Z,Can we make laser with some modifications to this?,2023-12-18T13:58:59Z
UgxZkT1Cn3BfeCRCXNN4AaABAg,@atticuswalker,,1,QCX62YJCmGk,0,0,2023-12-17T18:21:33Z,multiply the wavelength and devide the freequency of the different light by the density of the water and devide the new wavelength by the new freequency.  and you get what you see. it&#39;s called time dialation based on density. it unifies gravity,2023-12-17T18:21:33Z
Ugw1-eJJXVkHg0tX8bN4AaABAg,@ucbrowser2447,,1,QCX62YJCmGk,0,0,2023-12-16T18:38:23Z,Next evolution of the RGB bands,2023-12-16T18:38:23Z
UgwQvQ925-O7hLP41I94AaABAg,@edvogel56,,1,QCX62YJCmGk,0,0,2023-12-16T15:35:50Z,Faraday&#39;s Christmas Lectures come to mind.  Wow. Thanks!,2023-12-16T15:35:50Z
UgwCz3OBCf3W4-yvGZZ4AaABAg,@TonoyisSleepy,,1,QCX62YJCmGk,0,0,2023-12-16T11:31:56Z,"Imagine someone setting this contraption up in their room, just to show off",2023-12-16T11:31:56Z
Ugx2y4zMO_BJioOd5z94AaABAg,@johnc.392,,1,QCX62YJCmGk,0,0,2023-12-15T08:07:33Z,"uhm do the bands of colour get formed because the lightsource not being linear?<br>I would assume that some of the light that enters the cylinder actually enter at an angle not parallel with the length of the cylinder and thus hit the sides of the cylinder and because of the differing refractive indices of the different wave lengths of the light, different wavelengths might exit the tube more or less depending on the angle of which it strikes the inner surface of the cylinder...?<br>I would also presume that some light would be scattered in the fluid as it isn&#39;t 100% optically transparent so the tube would show the bands until there is too little light left traveling ( and thus exiting ) the tube to be detected by the human eye? This is just a guess though... I haven&#39;t officially learned some of the concepts =w=&#39;&#39;",2023-12-15T08:07:33Z
Ugx5jYXfhQeDpD4ujrB4AaABAg,@cluanneyoula4634,,1,QCX62YJCmGk,0,0,2023-12-15T07:31:48Z,I&#39;m gonna make my nightlamp with just a flashlight and a bucket of sugar water on a narrow tube,2023-12-15T07:31:48Z
Ugzoi6hrZ0G0PhgrX2B4AaABAg,@pedroj.gguillo5601,,1,QCX62YJCmGk,0,0,2023-12-14T10:34:32Z,"I swear to God I am going to build that thing!!!!!<br>But I don&#39;t know the size the tube should be... Welp, this will take some time",2023-12-14T10:35:55Z
UgxAFNjx47Ij6h1WEqp4AaABAg,@SanneBerkhuizen,,1,QCX62YJCmGk,0,0,2023-12-10T20:06:41Z,"Thanks for explaining something I didn&#39;t even question, but now I know it&#39;s.. enlightenment",2023-12-10T20:06:41Z
Ugy2BVggZmcQfEEOvL54AaABAg,@nestorenriquez3284,,1,QCX62YJCmGk,0,0,2023-12-10T16:30:14Z,"I have a theory tho that the very reason why there is a twisting phenomenon is that wavelengths travel in different, specific direction. And when it passes the second polarizer, a specific color is completely blocked depending on the axis of the second polarizer.",2023-12-10T16:30:14Z
Ugx8bbAX-00IHE4pP5F4AaABAg,@mikolajwojnicki2169,,1,QCX62YJCmGk,0,0,2023-12-09T08:06:58Z,My educated guess: it&#39;s twisted simply due to refraction. Light bends as it leaves the tube so at the top of the tube we see the hue that is scattered slightly upwards. The polarization needs to be rotated a bit before that hue is scattered slightly downwards and we cas see it refracted from the bottom of the tube.,2023-12-09T08:06:58Z
UgwAYSLyX0jJsQKQMUN4AaABAg,@Curious_Southerner,,1,QCX62YJCmGk,1,0,2023-12-08T01:12:01Z,"Grant, thank you for this beautiful video! I have a naive question: we stated that when the polarized light goes through the solution, certain wavelengths get rotated more than others. However, if we were to look at the end of the pole, we would still observe white light, indicating that the superposition is similar to the initial linearly polarized light. Is it expected or intuitive that the superposition of the income light that is in the same plane should be the same as the superposition of the wavelengths that are rotated and are in different planes? Sorry if it is a confusing question; I can clarify if needed.",2023-12-08T01:12:01Z
