video_id,title,published,view_count,like_count,comment_count,duration,definition,tags,default_audio_language,madeforkid,channel_id,channelTitle
P11ykXwx4-k,I'm still astounded this is true,2023-12-07T01:11:14Z,18435854,1043942,4660,PT1M,hd,"['Mathematics', 'three blue one brown', '3 blue 1 brown', '3b1b', '3brown1blue', '3 brown 1 blue', 'three brown one blue']",en,False,UCYO_jab_esuFRV4b17AJtAw,3Blue1Brown
Cm-zmm0nANo,The split necklace puzzle (with a surprise topological solution),2023-12-11T00:00:07Z,245384,15986,109,PT1M,hd,"['Mathematics', 'three blue one brown', '3 blue 1 brown', '3b1b', '3brown1blue', '3 brown 1 blue', 'three brown one blue']",en,False,UCYO_jab_esuFRV4b17AJtAw,3Blue1Brown
VFbyGEZLMZw,Don't let it fool you!,2023-12-07T01:11:14Z,2552584,152099,945,PT1M,hd,"['Mathematics', 'three blue one brown', '3 blue 1 brown', '3b1b', '3brown1blue', '3 brown 1 blue', 'three brown one blue']",en,False,UCYO_jab_esuFRV4b17AJtAw,3Blue1Brown
GSIuXqgPsnY,"How prisms work (video linked above shows why light ""slows down"")",2023-12-07T01:31:43Z,3317105,163446,935,PT1M,hd,"['Mathematics', 'three blue one brown', '3 blue 1 brown', '3b1b', '3brown1blue', '3 brown 1 blue', 'three brown one blue']",en,False,UCYO_jab_esuFRV4b17AJtAw,3Blue1Brown
p9i3cYMQtBY,Infinite Lighthouses and π,2023-12-21T00:00:20Z,873308,64743,364,PT1M,hd,"['Mathematics', 'three blue one brown', '3 blue 1 brown', '3b1b', '3brown1blue', '3 brown 1 blue', 'three brown one blue']",en,False,UCYO_jab_esuFRV4b17AJtAw,3Blue1Brown
kjBOesZCoqc,Essence of linear algebra preview,2016-08-05T01:01:44Z,2337117,40993,1194,PT5M9S,hd,"['3 brown 1 blue', '3b1b', 'three', 'linear algebra', 'mathematics', 'blue', 'brown', 'three brown one blue', 'three blue one brown', '3 blue 1 brown', 'one', 'vectors', '3brown1blue', 'matrix', 'math']",en,False,UCYO_jab_esuFRV4b17AJtAw,3Blue1Brown
HEfHFsfGXjs,The most unexpected answer to a counting puzzle,2019-01-13T16:12:47Z,12263798,300464,6459,PT5M13S,hd,"['Mathematics', 'three blue one brown', '3 blue 1 brown', '3b1b', '3brown1blue', '3 brown 1 blue', 'three brown one blue', 'physics', 'pi']",en,False,UCYO_jab_esuFRV4b17AJtAw,3Blue1Brown
NOCsdhzo6Jg,How They Fool Ya (live) | Math parody of Hallelujah,2023-06-28T19:17:11Z,862608,58471,1290,PT4M,hd,"['Mathematics', 'three blue one brown', '3 blue 1 brown', '3b1b', '3brown1blue', '3 brown 1 blue', 'three brown one blue']",en,False,UCYO_jab_esuFRV4b17AJtAw,3Blue1Brown
v0YEaeIClKY,"e^(iπ) in 3.14 minutes, using dynamics | DE5",2019-07-07T14:08:18Z,2664560,70044,2001,PT4M8S,hd,"['Mathematics', 'three blue one brown', '3 blue 1 brown', '3b1b', '3brown1blue', '3 brown 1 blue', 'three brown one blue', ""euler's formula"", 'e to the pi i']",en,False,UCYO_jab_esuFRV4b17AJtAw,3Blue1Brown
S9JGmA5_unY,How secure is 256 bit security?,2017-07-08T14:19:39Z,3015844,102074,3125,PT5M6S,hd,"['security', 'math', '3b1b', 'mathematics', '3 brown 1 blue', 'computer science', 'three blue one brown', '3brown1blue', 'three', 'three brown one blue', 'one', '3 blue 1 brown', '256', 'blue', 'brown']",en,False,UCYO_jab_esuFRV4b17AJtAw,3Blue1Brown
