video_id,title,published,view_count,like_count,comment_count,duration,definition,tags,default_audio_language,madeforkid,channel_id,channelTitle
yX_B-DUhFeY,GOOGLE'S UPCOMING GEMINI ARTIFICIAL INTELLIGENCE W/ 6 ABILITIES | TECH NEWS,2023-08-06T15:15:03Z,10113,182,,PT12S,hd,"['gemini', 'google', 'openai', 'gpt 4', 'gpt4', 'gpt5', 'gpt 5', 'chatgpt', 'palm', 'microsoft', 'deepmind', 'artificial intelligence', 'neural network', 'agi', 'machine learning', 'deep learning', 'natural language processing', 'nlp', 'ml', 'reinforcement learning', 'tech news', 'new tech', 'technology news', 'futurist', 'futurism', 'robotics', 'ai robot', '3d', 'vision', 'audio llm', 'vision llm', 'convolutional neural network', 'next gen', 'bard', 'leaked', 'innovation', 'boston dynamics', 'sophia robot', 'tesla', 'optimus', 'elon musk', 'singularity', 'multimodal', 'new ai', 'news']",en,False,UCDZfn935vwaahDabsfylfIQ,AI News
wYVktxbf6t0,SINGULARITY AI: Ray Kurzweil Reveals Future Tech Timeline To 2100,2023-05-12T13:53:32Z,205270,3530,503,PT8M1S,hd,"['ai', 'a.i.', 'artificial intelligence', 'singularity', 'ray kurzweil', 'future tech', 'timeline', 'tech future', 'deep learning', 'machine learning', 'natural language processing', 'ai robot', 'robots', 'robotics', 'google', 'neural network', 'neural networks', 'nlp', 'ml', 'convolutional neural network', 'tech news', 'technology news', 'futurism', 'future', 'innovation', 'machine', 'agi', 'asi', 'elon musk', 'transhumanism', 'recurrent neural network', 'science', 'boston dynamics', 'deepmind', 'openai', 'open ai', 'gpt4', 'chatgpt', 'gpt 4', 'human nature', 'brain', 'nano', 'RL']",en,False,UCDZfn935vwaahDabsfylfIQ,AI News
P5HNeahRYDM,SINGULARITY TIMELINE | ARTIFICIAL INTELLIGENCE + AGI + ASI (2023 - 2100¹⁰⁰),2022-12-30T14:07:22Z,489955,8542,1369,PT10M39S,hd,"['singularity', 'timeline', 'ai', 'a.i.', 'artificial intelligence', 'machine learning', 'cyborg', 'transhumanism', 'tech news', 'new tech', 'new technology', 'future tech', 'timelapse', 'openai', 'open ai', 'google ai', 'deepmind', 'deep learning', 'robots', 'robotics', 'the future', 'technology news', 'humanoid', 'gpt3', 'gpt4', 'chatgpt', 'black hole', 'interstellar black hole scene', 'black hole sun', 'agi', 'ml', 'nlp', 'reinforcement learning', 'natural language processing', 'sci fi movies full length', 'sci fi short film', 'science fiction', 'the singularity']",en,False,UCDZfn935vwaahDabsfylfIQ,AI News
W-jCQck3dII,The Mark of AI: 2030 - ∞ Future Timeline of The Beast & ASI,2023-04-18T13:29:32Z,145470,4012,933,PT8M1S,hd,"['beast', 'ai', 'a.i.', 'artificial intelligence', 'singularity', 'machine learning', 'deep learning', 'neural networks', 'convolutional neural network', 'reinforcement learning', 'future', 'tech', 'future tech', 'natural language processing', 'gpt 4', 'openai', 'open ai', 'chatgpt', 'nlp', 'rl', 'ml', 'robotics', 'ai robot', 'robots', 'futurism', 'bci', 'brain computer interface', 'tech news', 'new tech', 'technology news', 'new technology', 'google', 'sophia robot', 'boston dynamics', 'innovation', 'transhumanism', 'cyborg', 'revelation', 'apocalypse', 'futuristic', 'agi', 'asi']",en,False,UCDZfn935vwaahDabsfylfIQ,AI News
CcnPatOYIgo,GPT5 Next Gen : 7 Upcoming Abilities To Transform AI + The Future of Tech | OpenAI,2023-03-21T13:47:53Z,633315,7599,670,PT8M25S,hd,"['gpt5', 'gpt3', 'gpt4', 'chatgpt', 'openai', 'open ai', 'ai', 'a.i.', 'artificial intelligence', 'machine learning', 'deep learning', 'computer vision', 'neural network', 'convolutional neural network', 'gpt-3', 'gpt-4', 'singularity', 'robotics', 'ai robot', 'robots', 'ml', 'nlp', 'natural language processing', 'virtual reality', 'vr', 'future tech', 'tech news', 'new tech', 'technology news', 'google', 'deepmind', 'microsoft', 'agi', 'transformer', 'reinforcement learning', 'recurrent neural network', 'boston dynamics', 'transhumanism', 'new technology', 'innovation', 'elon']",en,False,UCDZfn935vwaahDabsfylfIQ,AI News
4OugrTYqCA0,"Google’s GNoME AI: 800 Year Leap Makes 2,200,000 New Discoveries",2023-12-05T14:13:08Z,53353,680,44,PT8M15S,hd,"['google', 'gnome', 'ai', 'a.i.', 'alphago', 'material science', 'artificial intelligence', 'deepmind', 'pika 1.0', 'pika labs', 'meta', 'ar', 'vr', 'neural network', 'convolutional neural network', 'machine learning', 'deep learning', 'ai news', 'robotics', 'robot', 'ai robot', 'tech news', 'new technology', 'new tech', 'future', 'agi', 'singularity', 'futurism', 'futurist', 'microsoft', 'openai', 'chatgpt', 'gpt4', 'gpt5', 'natural language processing', 'nlp', 'reinforcement learning', 'rl', 'ml', 'future tech', 'tesla', 'boston dynamics', 'alphafold']",en,False,UCDZfn935vwaahDabsfylfIQ,AI News
GhQfKDLJLq0,Top 7 Brain Computer Interface (BCI) Devices | AI Future Tech,2022-09-20T15:04:54Z,13483,218,8,PT8M18S,hd,"['neuralink', 'elon musk neuralink', 'a.i. artificial intelligence', 'brain computer interface', 'BCI', 'brain machine interface', 'ai news', 'blackrock', 'brain gate', 'ai brain', 'robotics', 'robotic arm', 'tech news', 'new tech', 'synchron', 'deep learning', 'neural network', 'machine learning', 'convolutional neural network', 'future tech', 'the singularity', 'singularitynet agix']",en,False,UCDZfn935vwaahDabsfylfIQ,AI News
eYgI2bCTWqM,OpenAI’s Q* (Q-Star) Learning AI Leak Project 2024: GPT5 or AGI?,2023-12-01T12:11:04Z,45119,364,56,PT8M7S,hd,"['Q*', 'q star', 'gpt5', 'gpt3', 'gpt4', 'chatgpt', 'openai', 'open ai', 'ai', 'a.i.', 'artificial intelligence', 'machine learning', 'deep learning', 'computer vision', 'neural network', 'convolutional neural network', 'gpt-3', 'gpt-4', 'singularity', 'robotics', 'ai robot', 'robots', 'ml', 'nlp', 'natural language processing', 'virtual reality', 'vr', 'future tech', 'tech news', 'new tech', 'technology news', 'google', 'deepmind', 'microsoft', 'agi', 'transformer', 'reinforcement learning', 'recurrent neural network', 'boston dynamics', 'transhumanism', 'new technology']",en,False,UCDZfn935vwaahDabsfylfIQ,AI News
6YKu25SsO24,MIT AI 3D Printing Robots w/ Organs 660X Faster | New Tech,2023-11-24T14:20:19Z,3513,136,6,PT8M11S,hd,"['ai', 'a.i.', 'artificial intelligence', 'deep learning', 'machine learning', 'robot', 'ai robot', 'robotics', '3d printing', '3d printer', 'deepmind', 'google', 'eth', 'mit', 'natural language processing', 'nlp', 'microsoft', 'openai', 'chatgpt4', 'meta', 'tech news', 'new tech', 'singularity', 'technology news', 'new technology', 'future', 'transhumanism', 'futurism', 'agi', 'tesla', 'sophia robot', 'robot arm', 'automation', 'nvidia', 'simulation', 'neural network', 'computer vision', 'ai news', 'robot news', '3d print', '2024 tech', 'future tech', 'optimus']",en,False,UCDZfn935vwaahDabsfylfIQ,AI News
lo5-zrd8xkY,Google’s NEW SMERF AI: 11 Features To Disrupt Tech In 2024,2023-12-19T14:40:06Z,6045,174,11,PT8M1S,hd,"['smerf', 'google', 'ai', 'a.i.', 'alphago', 'material science', 'artificial intelligence', 'deepmind', 'pika 1.0', 'pika labs', 'meta', 'ar', 'vr', 'neural network', 'convolutional neural network', 'machine learning', 'deep learning', 'ai news', 'robotics', 'robot', 'ai robot', 'tech news', 'new technology', 'new tech', 'future', 'agi', 'singularity', 'futurism', 'futurist', 'microsoft', 'openai', 'chatgpt', 'gpt4', 'gpt5', 'natural language processing', 'nlp', 'reinforcement learning', 'rl', 'ml', 'future tech', 'tesla', 'boston dynamics', 'alphafold', 'gemini', 'optimus', 'gen 2', 'robots']",en,False,UCDZfn935vwaahDabsfylfIQ,AI News
