Comment_id,author,Reply_for,Type,video_id,total_reply,like_count,published_at,textdisplay,updatedat
UgwoW3j_edF0Qb9YNOp4AaABAg,@abhishekkrthakur,,1,PE0DQlQItro,0,11,2023-07-22T15:18:10Z,"Code is available here: <a href=""https://gist.github.com/abhishekkrthakur/a3d712c2709dcfbfa6a803fcfbcb5737"">https://gist.github.com/abhishekkrthakur/a3d712c2709dcfbfa6a803fcfbcb5737</a><br>Please subscribe to help me keep motivated to make awesome videos like this one. :)",2023-07-22T15:18:10Z
UgwXsrInDW2CsYlGCQp4AaABAg,@anandteerthrparvatikar5359,,1,PE0DQlQItro,0,0,2023-11-06T12:55:21Z,"Hi Abhi, could you pls drop a link of video where we can deploy model by ourselves? <br><br>Downloaded Llama 2 model to Any Cloud end point?",2023-11-06T12:55:21Z
UgxVdgRIflVqVmZNK3B4AaABAg,@skullywag5937,,1,PE0DQlQItro,0,0,2023-10-05T21:48:18Z,Can we build a user interface to let llama2 analyze data in excel spreadsheets?,2023-10-05T21:48:18Z
UgxYk033cDFLtEgu81B4AaABAg,@nirsarkar,,1,PE0DQlQItro,0,0,2023-09-13T00:53:17Z,Amazing content. Thanks,2023-09-13T00:53:17Z
UgzmOyOrc9p8MdpQ44h4AaABAg,@roberthendrickson724,,1,PE0DQlQItro,0,0,2023-08-27T19:33:01Z,"Never-minding for a sec that I really appreciate the content of this video, I would love to know how you&#39;re doing your recording... especially how are you getting your talking head cutout to superimpose on the video.",2023-08-27T19:33:01Z
UgycI8OiA8irENsolRJ4AaABAg,@jdoejdoe6161,,1,PE0DQlQItro,0,0,2023-08-22T12:21:33Z,"Thank you for this tutorial. Please, is a video turial on how to sharred a model. I want to sharred this model togethercomputer/Llama-2-7B-32K-Instruct",2023-08-22T12:21:33Z
Ugw7L-ZU4ljtxXTGH8F4AaABAg,@ignacio3714,,1,PE0DQlQItro,0,0,2023-08-19T08:23:05Z,"hey friend. it seems that you know a lot!!<br>could you give me a hand with this? I want to know what&#39;s the best way of creating your own &quot;chatgpt&quot; but giving a specific amount of X files. Let&#39;s say a small book, and then be able to ask questions about it, but running it locally or in the cloud (not using any third party basically). what&#39;s the best way of doing it? is it even possible? like running something like that in google colab with files from google drive or something like that? <br>thanks in advance man!",2023-08-19T08:23:05Z
Ugx6kwRQlVkb7Q2Yi8d4AaABAg,@dreamypujara3384,,1,PE0DQlQItro,0,1,2023-08-17T08:59:31Z,"the code seems to work but as i open the gradio url to test it, its showing error as soon as i put in some question",2023-08-17T08:59:31Z
UgxoiEE3HVCWABd-1kl4AaABAg,@lilianbaxan9543,,1,PE0DQlQItro,0,0,2023-08-02T11:57:00Z,You forgot to describe principal part of the item - server side ...,2023-08-02T11:57:00Z
UgxhCb5G6bMfXPWFhsN4AaABAg,@koshalsingh9786,,1,PE0DQlQItro,2,0,2023-07-30T07:56:58Z,"I am sorry to ask, But I didnt understand what you did at <a href=""https://www.youtube.com/watch?v=PE0DQlQItro&amp;t=15m35s"">15:35</a> to resolve that error?<br>you said that you are exporting the environment variables but why and where?",2023-07-30T07:56:58Z
