video_id,title,published,view_count,like_count,comment_count,duration,definition,tags,default_audio_language,madeforkid,channel_id,channelTitle
3fsn19OI_C8,The EASIEST way to finetune LLAMA-v2 on local machine!,2023-07-20T12:23:56Z,125608,2483,264,PT17M26S,hd,"['machine learning', 'deep learning', 'artificial intelligence', 'kaggle', 'abhishek thakur', 'llama finetuning', 'llama v2 finetuning', 'how to finetune llama', 'llama finetuning on local machine', 'llama v2 instruction finetuning', 'finetune llama on custom dataset', 'llama google colab', 'finetune llama on google colab', 'how to finetune llm', 'falcon finetuning', 'llama fine tuning', 'llm finetuning', 'how to train llm', 'llm training custom dataset', 'autotrain llm training', 'autotrain llm', 'autotrain advanced']",en,False,UCBPRJjIWfyNG4X-CRbnv78A,Abhishek Thakur
5nYqK-HaoKY,Hyperparameter Optimization: This Tutorial Is All You Need,2020-07-19T15:45:13Z,96238,2955,119,PT59M33S,hd,"['machine learning', 'deep learning', 'artificial intelligence', 'kaggle', 'abhishek thakur', 'hyperparameter optimization', 'grid search', 'random search', 'how to do hyperparameter optimization using sklearn', 'how to do hyperparameter optimization using optuna', 'how to do hyperparameter optimization using hyperopt', 'hyperopt', 'optuna', 'skopt', 'how to do hyperparameter tuning using scikit optimize', 'bayesian optimization', 'gp minimize', 'minimization function', 'model tuning', 'model hyperparameter tuning']",en,False,UCBPRJjIWfyNG4X-CRbnv78A,Abhishek Thakur
JNMVulH7fCo,Train LLMs in just 50 lines of code!,2023-07-12T12:11:45Z,74532,823,55,PT19M34S,hd,"['machine learning', 'deep learning', 'artificial intelligence', 'kaggle', 'abhishek thakur', 'llm', 'llm finetuning', 'sft', 'training sft', 'training llm', 'llama finetuning', 'xgen 7b finetuning', 'make a chatbot', 'instruction finetuning', 'finetuning llms', 'how to finetune llm at home', 'large language models', 'how to finetune large language models', 'finetuning large language models', 'single gpu finetuning llm', 'llm finetuning on colab', 'llm finetuning on single gpu']",en,False,UCBPRJjIWfyNG4X-CRbnv78A,Abhishek Thakur
o1BCq1KJULM,Deploy FULLY PRIVATE & FAST LLM Chatbots! (Local + Production),2023-07-14T12:26:29Z,18959,522,56,PT19M8S,hd,"['machine learning', 'deep learning', 'artificial intelligence', 'kaggle', 'abhishek thakur', 'how to deploy llm', 'local llm chatbot', 'private llm chatbot', 'llm bot', 'local llm', 'run llm locally', 'run falcon locally', 'falcon 7b local', 'falcon 40b', 'how to deploy falcon', 'falcon docker container', 'huggingface chat', 'text generation inference', 'using tgi', 'deploy tgi', 'deploy local llm', 'how to run llms locally', 'train llm', 'finetune llm', 'run llm', 'llm quantization']",en,False,UCBPRJjIWfyNG4X-CRbnv78A,Abhishek Thakur
MVB1cbe923A,Building a recommendation system using deep learning,2021-02-07T15:30:10Z,91244,,124,PT26M24S,hd,"['machine learning', 'deep learning', 'artificial intelligence', 'kaggle', 'abhishek thakur', 'recsys', 'recommendation systems', 'build a recommendation system', 'recsys movielens', 'pytorch recommendation system', 'deep learning recommmendation system', 'deep learning recsys', 'tez recsys', 'movie lens deep learning', 'recommendation system deep learning', 'building a deep learning based recommendation system', 'recsys using pytorch', 'movielens pytorch']",en,False,UCBPRJjIWfyNG4X-CRbnv78A,Abhishek Thakur
OHZHM8hcyI4,BARK: Free Text to Speech & Voice Cloning,2023-08-01T16:44:03Z,17345,449,55,PT14M49S,hd,"['machine learning', 'deep learning', 'artificial intelligence', 'abhishek thakur', 'bark', 'bark voice clone', 'clone voice', 'best free tts', 'free text to speech', 'best tts', 'free tts', 'multilingual tts', 'multilingual text to speech', 'how to clone voices', 'how to clone voice free', 'free voice cloning', 'bark transformers', 'coqui voice clone', 'clone voice for free', 'best text to speech', 'best free text to speech', 'tts', 'text to speech', 'bark tts', 'bark text to speech', 'clone voices', 'ai voice cloning']",en,False,UCBPRJjIWfyNG4X-CRbnv78A,Abhishek Thakur
gF078Lhnr94,"Stable Diffusion XL (SDXL) DreamBooth: Easy, Fast & Free | Beginner Friendly",2023-07-26T20:15:10Z,36292,506,139,PT20M18S,hd,"['machine learning', 'deep learning', 'artificial intelligence', 'abhishek thakur', 'sdxl', 'sdxl dreambooth', 'autotrain dreambooth', 'huggingface sdxl dreambooth', 'how to train dreambooth', 'sdxl dreambooth colab', 'diffusers dreambooth', 'how to train sdxl dreambooth', 'sdxl huggingface', 'sdxl 1.0 dreambooth', 'dreambooth training', 'train dreambooth free', 'ai avatar generated', 'high resolution ai avatar', 'free ai avatar generation', 'stable diffusion xl dreambooth', 'stable diffusion', 'stable diffusion xl']",en,False,UCBPRJjIWfyNG4X-CRbnv78A,Abhishek Thakur
_55G24aghPY,Kaggle's 30 Days Of ML (Day-1): Getting Started With Kaggle,2021-08-03T15:30:12Z,164283,4085,157,PT43M42S,hd,"['machine learning', 'deep learning', 'artificial intelligence', 'kaggle', 'abhishek thakur', '30daysofml', '30 days of ml', '30 days of machine learning', 'getting started on kaggle', 'how to start with kaggle', 'kaggle progression system', 'kaggle 101', 'titanic first submission', 'create a kaggle account', 'random forest classifier titanic', 'kaggle beginner tutorial', '30daysofml day 1']",en,False,UCBPRJjIWfyNG4X-CRbnv78A,Abhishek Thakur
Kg588OVYTiw,Run LLAMA-v2 chat locally,2023-07-19T14:07:39Z,30010,581,56,PT8M10S,hd,"['machine learning', 'deep learning', 'artificial intelligence', 'kaggle', 'abhishek thakur', 'llama', 'llama v2', 'run llama locally', 'llama chat locally', 'llama 7b', 'llama 13b', 'how to run llama model locally', 'how to run llama 13b on ubuntu', 'how to run llama 13b on mac', 'can i run llama model on mac', 'llama 7b run locally', 'llama 13 b run locally', 'run chatbot locally', 'chatgpt alternative', 'best chatgpt alternative', 'best free chatgpt alternative', 'local chatbot', 'local llm', 'run llm locally']",en,False,UCBPRJjIWfyNG4X-CRbnv78A,Abhishek Thakur
Poc0X5fS9us,2. PyTorch Autograd,2021-04-05T17:09:23Z,9899,,21,PT8M6S,hd,"['machine learning', 'deep learning', 'artificial intelligence', 'kaggle', 'abhishek thakur', 'pytorch101', 'pytorch for beginners', 'pytorch 101', 'pytorch', 'basics of pytorch', 'pytorch basics', 'autograd', 'autograd pytorch', 'what is autograd in pytorch', 'pytorch autograd']",en,False,UCBPRJjIWfyNG4X-CRbnv78A,Abhishek Thakur
