video_id,title,published,view_count,like_count,comment_count,duration,definition,tags,default_audio_language,madeforkid,channel_id,channelTitle
xDMzOUUnNzw,Machine Learning for Drug Discovery (Explained in 2 minutes),2020-12-12T03:43:06Z,59311,1816,84,PT2M38S,hd,"['QSAR', 'How to QSAR', 'What is QSAR', 'QSPR', 'What is QSPR', 'quantitative structure-activity relationship', 'quantitative structure-property relationship', 'Machine learning', 'Data science', 'Drug discovery', 'Computational drug discovery', 'Computer-aided drug discovery', 'Computer-aided drug design', 'Drug design', 'Computational biology', 'Cheminformatics', 'Computational chemistry', 'Cheminformatic', 'Bioinformatics', 'Bioinformatic', 'Machine learning for drug discovery', 'Machine learning in drug discovery']",en,False,UCV8e2g4IWQqK71bbzGDEI4Q,Data Professor
TbundVfb8ow,Welcome to the Data Professor YouTube channel,2022-12-06T05:59:46Z,14673,160,18,PT1M45S,hd,,en,False,UCV8e2g4IWQqK71bbzGDEI4Q,Data Professor
dBoQLktIkOo,How to use the Llama 2 LLM in Python,2023-08-01T03:23:49Z,60721,688,30,PT4M51S,hd,,en,False,UCV8e2g4IWQqK71bbzGDEI4Q,Data Professor
4SivdTLIwHc,How to handle imbalanced datasets in Python,2021-05-28T15:27:56Z,37259,998,92,PT11M48S,hd,"['imbalanced class', 'imbalanced classification', 'data imbalance', 'data imbalance machine learning', 'machine learning class imbalance', 'machine learning class balancing', 'machine learning undersampling', 'machine learning oversampling', 'python class balance', 'python class imbalance', 'balancing data for machine learning', 'class imbalance', 'class balancing', 'class balancing python', 'class imbalance python', 'imbalanced-learn', 'imbalanced learn', 'imbalanced learning', 'imbalanced data']",en,False,UCV8e2g4IWQqK71bbzGDEI4Q,Data Professor
t5mylGHE2Fg,How to Build Regression Models (Weka Tutorial #1),2020-11-01T08:28:27Z,70485,1806,129,PT19M9S,hd,"['data mining', 'weka', 'weka data mining', 'data mining tutorial', 'data science tutorial', 'data science for beginners', 'data science for beginner', 'weka data science', 'simple data science', 'weka tutorial', 'no code machine learning', 'no code ML', 'machine learning tutorial', 'weka data mining tutorial', 'weka data science tutorial', 'data professor', 'learning data science for free', 'easy data science', 'easy machine learning', 'data science beginners', 'weka regression', 'regression weka']",en,False,UCV8e2g4IWQqK71bbzGDEI4Q,Data Professor
BuuH0wsJ8-k,Fastest way to upload files from Google Drive to Google Colab,2022-01-29T16:03:01Z,34462,507,42,PT4M40S,hd,"['google colab', 'google drive', 'drive', 'colab', 'upload files to google colab', 'upload files from google drive to google colab', 'upload files from google drive to colab', 'colab upload files', 'colab upload file', 'fastest way to upload to colab', 'fastest way to upload to google colab', 'gdown', 'upload file to colab', 'upload files to colab', 'upload file to google colab']",en,False,UCV8e2g4IWQqK71bbzGDEI4Q,Data Professor
ZZ4B0QUHuNc,How to Build Your First Data Science Web App in Python - Streamlit Tutorial #1,2020-06-07T02:40:30Z,346278,9298,357,PT10M57S,hd,"['Data Professor', 'data science', 'machine learning', 'streamlit', 'build web app with python', 'build data apps', 'build data app with python', 'model deployment machine learning', 'simple web app using python', 'streamlit python', 'streamlit tutorial', 'build a data science web app with streamlit and python', 'how to use streamlit', 'machine learning streamlit', 'machine learning web app', 'deploy machine learning', 'deploy data science', 'python web app', 'web app python', 'how to streamlit']",en,False,UCV8e2g4IWQqK71bbzGDEI4Q,Data Professor
kvJf8s18Vr4,How to use GitHub Codespaces for Coding and Data Science,2023-08-21T01:00:30Z,9691,260,16,PT11M53S,hd,"['GitHub', 'GitHub Codespaces', 'GitHub tutorial', 'Streamlit', 'scikit-learn', 'scikit learn', 'Streamlit tutorial', 'machine learning', 'cloud computer', 'data science', 'data science tutorial', 'coding']",en,False,UCV8e2g4IWQqK71bbzGDEI4Q,Data Professor
29ZQ3TDGgRQ,Build your first machine learning model in Python,2022-05-27T15:15:52Z,151907,3984,209,PT30M57S,hd,"['python', 'machine learning', 'scikit-learn', 'scikitlearn', 'data science', 'python machine learning', 'discoverdatascience', 'discover data science', 'wiley', 'python tutorial', 'machine learning tutorial', 'data science tutorial', 'machine learning python']",en,False,UCV8e2g4IWQqK71bbzGDEI4Q,Data Professor
8M20LyCZDOY,How to Build a Simple Machine Learning Web App in Python - Streamlit Tutorial #2,2020-06-12T12:25:54Z,79482,2456,179,PT8M51S,hd,"['data science', 'machine learning', 'web app', 'streamlit', 'build web app with python', 'build data apps', 'build data app with python', 'model deployment machine learning', 'simple web app using python', 'streamlit python', 'streamlit tutorial', 'build a data science web app with streamlit and python', 'how to use streamlit', 'machine learning streamlit', 'machine learning web app', 'deploy machine learning', 'deploy data science', 'python web app', 'web app python', 'python streamlit', 'how to streamlit']",en,False,UCV8e2g4IWQqK71bbzGDEI4Q,Data Professor
iPj6QKMd8qA,Ep. 1 How to create your first Streamlit web app in 1 minute #shorts,2021-05-09T06:40:38Z,25111,783,18,PT59S,hd,"['data science', 'machine learning', 'web app', 'streamlit', 'build web app with python', 'build data app with python', 'streamlit python', 'streamlit tutorial', 'how to use streamlit', 'deploy data science', 'python web app', 'web app python', 'python streamlit', 'how to streamlit', 'streamlit custom background', 'streamlit app', 'streamlit in 1 minute', 'streamlit in under a minute', 'streamlit in under 1 minute', 'streamlit quick tutorial', 'streamlit short tutorial', 'streamlit shorts', '#shorts', 'streamlit #shorts']",en,False,UCV8e2g4IWQqK71bbzGDEI4Q,Data Professor
