video_id,title,published,view_count,like_count,comment_count,duration,definition,tags,default_audio_language,madeforkid,channel_id,channelTitle
zFMgpxG-chM,What is A/B Testing? | Data Science in Minutes,2018-12-28T23:47:52Z,283828,5534,65,PT3M43S,hd,"['ab testing', 'decision making', 'statistics', 'A/B tests', 'controlled experiments', 'data-driven decisions', 'call-to-action', 'customer behavior', 'hypothesis testing', 'data science', 'data analytics', 'ab testing explained', 'a/b testing statistics']",en,False,UCzL_0nIe8B4-7ShhVPfJkgw,Data Science Dojo
jJ7ff7Gcq34,"Introduction to Precision, Recall and F1 | Classification Models",2019-02-04T10:00:03Z,71552,1587,56,PT3M6S,hd,"['Precision', 'Recall', 'F1', 'Classification Models', 'machine learning', 'data science', 'model accuracy', 'accuracy and precision', 'precision and recall', 'precision vs recall', 'classification precision vs recall']",en,False,UCzL_0nIe8B4-7ShhVPfJkgw,Data Science Dojo
Ekp2mfxQSzw,Introduction to R Programming for Excel Users | R Programming Tutorial,2017-05-04T03:31:19Z,169979,2814,91,PT1H45M21S,hd,"['R programming', 'excel', 'microsoft excel', 'data professionals', 'data science', 'data visualizations', 'statistical analyses', 'machine learning', 'data analytics', 'data analysis', 'R coding', 'data visualization', 'big data', 'r tutorial', 'r programming basics', 'r programming for data analysis', 'r programming explained']",en-US,False,UCzL_0nIe8B4-7ShhVPfJkgw,Data Science Dojo
Ams4sEn50cw,"Recommender Systems: Basics, Types, and Design Consideration",2023-02-01T09:32:09Z,6960,146,4,PT58M46S,hd,"['Recommender systems', 'recommender systems machine learning', 'movie recommendations', 'product recommendations', 'amazon recommendation systems', 'netflix recommendation systems', 'recommendation systems model', 'recommendation system design', 'recommendation models', 'performance metrics', 'machine learning', 'real-world recommender systems', 'Collaborative Filtering', 'Content-Based Filtering', 'A/B Testing', 'Unpersonalized Recommendations', 'Personalized Recommendations', 'types of recommender systems']",en,False,UCzL_0nIe8B4-7ShhVPfJkgw,Data Science Dojo
oCdxk76rhfI,Alejandro Wolf Yadlin on the Impact of Data Science Bootcamp,2016-11-09T19:09:46Z,223,0,0,PT1M50S,hd,"['data science', 'Data Science Dojo', 'data science training', 'data science bootcamp', 'data science for beginners', 'data science course', 'learn data science', 'data science tutorial for beginners', 'data analytics', 'how to learn data science', 'data science course for beginners', 'business analyst', 'best data science course', 'data analyst', 'data scientist']",en,False,UCzL_0nIe8B4-7ShhVPfJkgw,Data Science Dojo
qDtif1zxbkY,"Midjourney, Dall-E and the future of AI Image Generation",2023-11-29T20:18:22Z,0,0,0,P0D,sd,,en,False,UCzL_0nIe8B4-7ShhVPfJkgw,Data Science Dojo
9JJIGOiGbAs,Data Mining Explained | What is Data Mining?,2022-07-28T20:06:59Z,16511,328,8,PT1H26M59S,hd,"['Data mining', 'data analytics', 'data science', 'data attributes', 'data aggregation', 'data exploration', 'feature selection', 'data transformation', 'transformational attributes', 'data noise', 'data quality', 'data visualization', 'Data Types', 'Data Quality', 'Data Preprocessing', 'similarity', 'dissimilarity']",en,False,UCzL_0nIe8B4-7ShhVPfJkgw,Data Science Dojo
4cxVDUybHrI,Introduction to Clustering,2019-03-13T19:27:05Z,81270,1451,47,PT5M13S,hd,"['clustering', 'clustering methods', 'unsupervised learning', 'data points', 'Centroid based clustering', 'connectivity based clustering', 'distribution based clustering', 'density based clustering', 'nearest neighbors', 'hierarchy of clusters', 'normal distribution', 'probability', 'outliers', 'clusters']",en,False,UCzL_0nIe8B4-7ShhVPfJkgw,Data Science Dojo
E_mN90TYnlg,N-Grams in Natural Language Processing,2019-04-10T15:00:02Z,60157,2403,54,PT3M33S,hd,"['natural language processing', 'n grams models', 'n-grams', 'bi grams', 'machine learning', 'n-grams natural language processing', 'data science in minutes', 'natural language processing tutorial', 'nlp', 'n grams example', 'data science', 'data science tutorial', 'n-grams nlp', 'bigrams', 'bigram model', 'n gram']",en,False,UCzL_0nIe8B4-7ShhVPfJkgw,Data Science Dojo
wGUV_XqchbE,Time Series Forecasting in Minutes | Time Series Analysis Overview,2019-05-15T16:00:13Z,107663,1947,25,PT3M15S,hd,"['time series analysis', 'time series forecasting', 'time series', 'data prediction', 'time series data', 'time series models', 'decision making', 'historical data', 'predicting trends', 'time series analysis and forecasting']",en,False,UCzL_0nIe8B4-7ShhVPfJkgw,Data Science Dojo
UX6yNAC2sAc,"Your first ""Hello World"" program - Introduction R Programming - Part 1",2019-07-03T05:08:42Z,27965,281,7,PT3M35S,hd,"['hello world program', 'print function', 'programming 101', 'programming foundations', 'R programming', 'RStudio', 'R script file', 'programming', 'coding', 'data science']",en,False,UCzL_0nIe8B4-7ShhVPfJkgw,Data Science Dojo
8TuRJg76sW8,Introduction to Classification Models,2019-01-21T10:00:00Z,20572,481,12,PT2M46S,hd,"['classification models', 'machine learning model', 'predicition models', 'classification models for beginners', 'machine learning for beginners', 'machine learning model tutorial', 'prediction models', 'class type', 'machine learning', 'statistical classification', 'introduction to classification models', 'classification in machine learning']",en,False,UCzL_0nIe8B4-7ShhVPfJkgw,Data Science Dojo
dYdTqoamI3Q,What is Multivariate Testing? | Data Science in Minutes,2019-01-08T01:41:06Z,20895,339,2,PT2M49S,hd,"['multivariate testing', 'A/B testing', 'multivariate test', 'data science', 'data analysis', 'data interpretation', 'what is multivariate testing', 'multivariate', 'hypothesis testing', 'multivariate analysis']",en,False,UCzL_0nIe8B4-7ShhVPfJkgw,Data Science Dojo
