Comment_id,author,Reply_for,Type,video_id,total_reply,like_count,published_at,textdisplay,updatedat
Ugze5xMU28DlO7GzXzB4AaABAg,@Enchanting_nature,,1,lQ_K_DHssxo,0,0,2023-10-05T07:04:24Z,How can i download dataset?,2023-10-05T07:04:24Z
Ugz4RDhjeGjPMVMOYat4AaABAg,@oguve278,,1,lQ_K_DHssxo,0,0,2023-07-07T14:49:18Z,Helpful Video. Thanks!,2023-07-07T14:49:18Z
UgzQtE42vsUOVucUMSp4AaABAg,@alessandrobarbaro4804,,1,lQ_K_DHssxo,0,0,2023-05-22T17:31:15Z,great video!,2023-05-22T17:31:15Z
UgwxAabT6WkhqAUfwMh4AaABAg,@khushalghathalia870,,1,lQ_K_DHssxo,2,2,2023-04-18T17:22:37Z,Please try to increase video quality not able to read any code,2023-04-18T17:23:40Z
UgwxAabT6WkhqAUfwMh4AaABAg.9oeO_ZL_Aa09oeQ3mXoVHO,@wgblondel,UgwxAabT6WkhqAUfwMh4AaABAg,2,lQ_K_DHssxo,0,0,2023-04-18T17:35:37Z,"I can read everything just fine, Youtube is probably still processing higher resolutions",2023-04-18T17:35:37Z
UgwxAabT6WkhqAUfwMh4AaABAg.9oeO_ZL_Aa09ofpdKhW2CL,@hannekezijlmans6578,UgwxAabT6WkhqAUfwMh4AaABAg,2,lQ_K_DHssxo,0,0,2023-04-19T06:47:03Z,"​@@wgblondel <br>I still can&#39;t read it, it&#39;s a bit better now, but when it was live, it was completely unreadable. 😰",2023-04-19T06:47:03Z
UgzM-FLmFkZ2V3XMpzR4AaABAg,@spencerantoniomarlen-starr3069,,1,MLR4pIKZHI8,0,0,2023-09-06T12:40:56Z,Is this general formula only intended to be used for single shot learning prompts? I tried using it for two different multi shot learning situations and it completely failed me both times.,2023-09-06T12:40:56Z
UgzI1VqHX-t4EJezcB54AaABAg,@spencerantoniomarlen-starr3069,,1,MLR4pIKZHI8,0,0,2023-09-05T17:50:47Z,"I really felt like I learned a lot by watching this video (twice), but when I tried to use this formula (using a multi-shot learning approach) to get Chat GPT 4 to write me an R machine learning tutorial article for my Medium blog explaining how a long R project script I had from my master&#39;s program in data analytics I had written along with a team of fellow students worked step by step, it completely failed. I use Chat GPT all the time, it failed much worse than I am used to. It failed so badly that I ended up having to re-write so much of the article I had copied and pasted from its answer before hitting publish, that I might have been able to write it from scratch in the same amount of time. And saving time was the only reason I tried to have Chat GPT write it for me in the first place.<br><br>But, hey, maybe that was just bad luck, so today, I thought &quot;Wait, I have an idea, why don&#39;t I use the formula and tell it to give me feedback and suggested new content on that article I published yesterday!&quot; Because the version published was quite scant on explanation still, and it failed again, but MUCH WORSE this time. It just started suggesting random paragraphs about any topic imaginable. The first time I burst out laughing. So I git regenerate, same thing. Fast forward to the third time hitting it, and it starting writing about the Green New Deal, and I gave up.",2023-09-05T17:50:47Z
UgyjsvGU702DN9HQWdp4AaABAg,@douglasfinnigan1602,,1,MLR4pIKZHI8,0,0,2023-08-15T05:19:25Z,"Hi, great video. Is it ok to use some of your use case examples in a short course I&#39;m developing for a polytechnic? Credit and link given, of course. If not, no worries. Thanks for all your hard work.",2023-08-15T05:19:25Z
UgxXXWvqpHF_vF2ZBvx4AaABAg,@thethree60five,,1,MLR4pIKZHI8,0,1,2023-05-01T07:37:47Z,Here is a prompt:<br>Show me a video that is a waste of time.,2023-05-01T07:37:47Z
Ugz9zYZX_HCIGyoMC3Z4AaABAg,@mounaboubdir,,1,MLR4pIKZHI8,1,2,2023-04-10T13:11:30Z,Hi ! Is it possible to have the slides please ?,2023-04-10T13:11:30Z
Ugz9zYZX_HCIGyoMC3Z4AaABAg.9oKLUFZb7Me9wYDQdPn91V,@anasabino8502,Ugz9zYZX_HCIGyoMC3Z4AaABAg,2,MLR4pIKZHI8,0,0,2023-10-31T18:41:37Z,"<a href=""https://res.cloudinary.com/dyd911kmh/image/upload/v1698763172/Marketing/webinars/Slides/ChatGPT_Prompt_Engineering_for_Beginners.pdf"">https://res.cloudinary.com/dyd911kmh/image/upload/v1698763172/Marketing/webinars/Slides/ChatGPT_Prompt_Engineering_for_Beginners.pdf</a>",2023-10-31T18:41:37Z
UgwjEpDHM7daBCVMICh4AaABAg,@lukashager8317,,1,MLR4pIKZHI8,1,1,2023-04-08T20:03:05Z,Is there any way to get the slides if you are only watching the webinar now?,2023-04-08T20:03:05Z
UgwjEpDHM7daBCVMICh4AaABAg.9oFw-58lx0-9wYDP19mk3B,@anasabino8502,UgwjEpDHM7daBCVMICh4AaABAg,2,MLR4pIKZHI8,0,0,2023-10-31T18:41:24Z,"Adel shared it in the session <a href=""https://res.cloudinary.com/dyd911kmh/image/upload/v1698763172/Marketing/webinars/Slides/ChatGPT_Prompt_Engineering_for_Beginners.pdf"">https://res.cloudinary.com/dyd911kmh/image/upload/v1698763172/Marketing/webinars/Slides/ChatGPT_Prompt_Engineering_for_Beginners.pdf</a>",2023-10-31T18:41:24Z
UgyaH3jNeBIpqpW5EBN4AaABAg,@hugodunois3785,,1,MLR4pIKZHI8,0,1,2023-04-08T12:43:50Z,It&#39;s great to know this webpage.,2023-04-08T12:43:50Z
UgxDXAwuhsp_m_iFmsJ4AaABAg,@thenethitspop-ln1gc,,1,MLR4pIKZHI8,0,1,2023-04-07T11:15:47Z,whoat this is interesting,2023-04-07T11:15:47Z
Ugy6j_qsaPnUDpFoLd14AaABAg,@Gkklein,,1,MLR4pIKZHI8,1,0,2023-04-05T16:19:21Z,Why not use GPT-4? What a waste of time.,2023-04-05T16:19:21Z
Ugy6j_qsaPnUDpFoLd14AaABAg.9o7o-mlj8-K9o7zU1CZ_eK,@king0fw0rld69,Ugy6j_qsaPnUDpFoLd14AaABAg,2,MLR4pIKZHI8,0,6,2023-04-05T17:59:36Z,"See <a href=""https://www.youtube.com/watch?v=MLR4pIKZHI8&amp;t=41m50s"">41:50</a> timestamp",2023-04-05T17:59:36Z
Ugx6_ZZ7hIRTlTXE-CZ4AaABAg,@user-tm7jj2ig8y,,1,bLt9BEocsqM,0,0,2023-08-18T00:22:31Z,"Data Engineering Learning to prepare for certification  <a href=""https://www.youtube.com/watch?v=bLt9BEocsqM&amp;t=3m31s"">3:31</a><br>Datacamp Workspace <a href=""https://www.youtube.com/watch?v=bLt9BEocsqM&amp;t=4m05s"">4:05</a>",2023-08-18T00:22:31Z
