video_id,title,published,view_count,like_count,comment_count,duration,definition,tags,default_audio_language,madeforkid,channel_id,channelTitle
ilcD874iFGA,DataCamp Donates is the Best Way to Transition into a Data Analyst Career,2022-08-28T13:43:00Z,44928,75,2,PT1M46S,hd,,en-US,False,UC79Gv3mYp6zKiSwYemEik9A,DataCamp
QXwaYh4Yt9Q,Better Way to Learn,2021-03-09T20:39:11Z,2492011,363,32,PT33S,hd,,en-US,False,UC79Gv3mYp6zKiSwYemEik9A,DataCamp
tWLw3GzfcbU,Learner Spotlight: How I Became a Data Analyst with DataCamp,2021-01-22T17:00:30Z,230673,57,4,PT1M16S,sd,,en-US,False,UC79Gv3mYp6zKiSwYemEik9A,DataCamp
6V_VvweZkoI,R Tutorial: Nonlinear Modeling in R with GAMs | Intro,2020-04-14T00:41:09Z,30005,382,7,PT4M22S,hd,"['GAMs', 'Modeling', 'Nonlinear', 'DataCamp', 'RTutorial']",en-US,False,UC79Gv3mYp6zKiSwYemEik9A,DataCamp
rPrJ7sSbTqM,"R Tutorial : Trends, seasonality and cyclicity",2020-03-14T13:41:43Z,17455,185,6,PT3M39S,sd,"['Forecasting in R', 'Quantitative Analyst with R', 'Time Series with R', 'time series forecasting using R', 'DataCamp', 'R Tutorial', 'want to learn R', 'Data Science', 'how to learn data science', 'Trends', 'seasonality and cyclicity']",en-US,False,UC79Gv3mYp6zKiSwYemEik9A,DataCamp
cqOUpnF-Lco,R Tutorial: Reactivity 101,2020-04-18T02:00:10Z,5586,94,5,PT5M30S,hd,"['Shiny', 'Applications', 'Web', 'Building', 'RTutorial', 'DataCamp']",en-US,False,UC79Gv3mYp6zKiSwYemEik9A,DataCamp
VeZQhM3kkgw,R Tutorial : Stationarity and Nonstationarity,2020-03-25T04:59:33Z,13394,163,4,PT3M14S,sd,"['ARIMA Models in R', 'DataCamp', 'R Tutorial', 'want to learn R', 'Data Science', 'how to learn data science', 'Time Series with R', 'Quantitative Analyst with R', 'R stats package', 'how to fit various ARMA models', 'R package astsa', 'how to fit integrated ARMA models', 'ARIMA models', 'how to check the validity of an ARIMA model', 'how to forecast time series data', 'learn the basics of ARMA models', 'basic R commands', 'Stationarity and Nonstationarity']",en-US,False,UC79Gv3mYp6zKiSwYemEik9A,DataCamp
NiIJIU5BEBU,Python Tutorial: Introduction to spaCy,2020-03-05T16:30:13Z,9870,133,1,PT2M43S,hd,"['Introduction to spaCy', 'Advanced NLP with spaCy', 'Python Tutorial', 'Data Science in Python', 'python programming', 'Python NLP', 'Spacy Python', 'how to use spaCy', 'NLP in Python']",en-US,False,UC79Gv3mYp6zKiSwYemEik9A,DataCamp
hAFRfnreTAo,PySpark Tutorial : Understanding Parquet,2020-04-19T01:27:02Z,52245,466,6,PT4M29S,hd,"['Machine Learning with PySpark', 'Machine Learning Scientist with Python', 'Big Data with PySpark', 'DataCamp', 'Python Tutorial', 'want to learn Python', 'Data Science', 'how to learn data science', 'Data Analyst with Python', 'Data Scientist with Python', 'Big Data', 'how to connect to Spark using Python', 'Linear Regression', 'Logistic Regression/Classifiers', 'and creating pipelines.', 'Spark Machine Learning', 'Machine Learning & Spark', 'Connecting to Spark', 'Understanding Parquet']",en-US,False,UC79Gv3mYp6zKiSwYemEik9A,DataCamp
8doPTpkAWDQ,R Tutorial: Multivariate GAMs,2020-04-14T00:44:07Z,14748,168,6,PT5M1S,hd,"['GAMs', 'Modeling', 'Nonlinear', 'DataCamp', 'RTutorial']",en-US,False,UC79Gv3mYp6zKiSwYemEik9A,DataCamp
WXHLLO4FnZs,Python Tutorial: Dealing with categorical features,2020-03-11T02:48:34Z,12184,205,3,PT5M6S,hd,"['MachineLearning', 'DataCamp', 'Engineering', 'PythonTutorial', 'categorical', 'features', 'Python']",en-US,False,UC79Gv3mYp6zKiSwYemEik9A,DataCamp
XVV6IVPUlKU,Python Tutorial: Correlation of Two Time Series,2020-03-02T03:34:52Z,35629,295,6,PT2M32S,hd,"['Python Tutorial', 'Data Science in Python', 'python programming', 'Time Series Analysis in Python', 'Time Series', 'Time Series with Python', 'statistical libraries in Python', 'Correlation of Two Time Series']",en-US,False,UC79Gv3mYp6zKiSwYemEik9A,DataCamp
VgDe0gwesrw,Python Tutorial : When should I use XGBoost?,2020-04-09T02:17:17Z,6804,108,5,PT1M50S,hd,"['Extreme Gradient Boosting with XGBoost', 'DataCamp', 'Python Tutorial', 'want to learn Python', 'Data Science', 'how to learn data science', 'Machine Learning Scientist with Python', 'Machine Learning for Everyone', 'XGboost', 'scikit-learn', 'When should I use XGBoost?']",en-US,False,UC79Gv3mYp6zKiSwYemEik9A,DataCamp
g_dhNS1vmhk,R Tutorial: The map family of functions,2020-03-20T04:39:49Z,5374,53,2,PT4M32S,hd,"['Foundations', 'machinelearning', 'Tidyverse', 'RTutorial', 'map']",en-US,False,UC79Gv3mYp6zKiSwYemEik9A,DataCamp
