video_id,title,published,view_count,like_count,comment_count,duration,definition,tags,default_audio_language,madeforkid,channel_id,channelTitle
hh6gE0LxfO8,"#5 Machine Learning Specialization [Course 1, Week 1, Lesson 2]",2022-12-01T13:21:30Z,30742,319,6,PT7M17S,hd,,en,False,UCcIXc5mJsHVYTZR1maL5l9w,DeepLearningAI
_i3aqgKVNQI,C5W3L01 Basic Models,2018-02-05T19:50:14Z,110835,436,12,PT6M19S,hd,,en,False,UCcIXc5mJsHVYTZR1maL5l9w,DeepLearningAI
uvTL1N02f04,"#23 Machine Learning Specialization [Course 1, Week 2, Lesson 1]",2022-12-01T13:22:38Z,11639,107,4,PT6M53S,hd,,en,False,UCcIXc5mJsHVYTZR1maL5l9w,DeepLearningAI
H4YK_7MAckk,ChatGPT Prompt Engineering for Developers: A short course from OpenAI and DeepLearning.AI,2023-04-27T14:49:09Z,143057,2847,121,PT1M58S,hd,"['ChatGPT', 'prompt engineering', 'openai', 'deeplearning.ai', 'andrew ng', 'llms', 'large language models', 'openai api']",en,False,UCcIXc5mJsHVYTZR1maL5l9w,DeepLearningAI
YVtP5UGdgXg,"#25 Machine Learning Specialization [Course 1, Week 2, Lesson 2]",2022-12-01T13:22:45Z,11542,106,1,PT6M35S,hd,,en,False,UCcIXc5mJsHVYTZR1maL5l9w,DeepLearningAI
obdVesVsGQI,How Diffusion Models Work: A short course by DeepLearning.AI,2023-05-31T16:14:12Z,15188,210,7,PT1M39S,hd,,en,False,UCcIXc5mJsHVYTZR1maL5l9w,DeepLearningAI
vStJoetOxJg,"#1 Machine Learning Specialization [Course 1, Week 1, Lesson 1]",2022-12-01T13:20:48Z,136290,1276,17,PT2M45S,hd,,en,False,UCcIXc5mJsHVYTZR1maL5l9w,DeepLearningAI
am36dePheDc,C4W1L03 More Edge Detection,2017-11-07T19:14:40Z,153983,1446,20,PT7M58S,hd,,en-US,False,UCcIXc5mJsHVYTZR1maL5l9w,DeepLearningAI
dLc-lfEEYss,"#9 Machine Learning Specialization [Course 1, Week 1, Lesson 3]",2022-12-01T13:21:45Z,29927,298,5,PT10M27S,hd,,en,False,UCcIXc5mJsHVYTZR1maL5l9w,DeepLearningAI
ArPaAX_PhIs,C4W1L01 Computer Vision,2017-11-07T19:14:40Z,501132,2579,42,PT5M44S,hd,,en-US,False,UCcIXc5mJsHVYTZR1maL5l9w,DeepLearningAI
XtlwSmJfUs4,"#3 Machine Learning Specialization [Course 1, Week 1, Lesson 2]",2022-12-01T13:21:24Z,40483,435,4,PT5M28S,hd,,en,False,UCcIXc5mJsHVYTZR1maL5l9w,DeepLearningAI
dfeoJ55EcXs,"Generative AI for Everyone, a course from Andrew Ng, is live!",2023-11-01T15:05:28Z,12060,278,15,PT1M33S,hd,,en,False,UCcIXc5mJsHVYTZR1maL5l9w,DeepLearningAI
BYGpKPY9pO0,Supervised Learning with a Neural Network (C1W1L03),2017-08-25T20:23:04Z,134468,1004,13,PT8M29S,sd,,en-US,False,UCcIXc5mJsHVYTZR1maL5l9w,DeepLearningAI
tQYZaDn_kSg,C4W1L05 Strided Convolutions,2017-11-07T19:14:40Z,131957,1288,50,PT9M2S,hd,,en-US,False,UCcIXc5mJsHVYTZR1maL5l9w,DeepLearningAI
CFN5zHzEuGY,"#11 Machine Learning Specialization [Course 1, Week 1, Lesson 3]",2022-12-01T13:21:50Z,22786,223,4,PT9M5S,hd,,en,False,UCcIXc5mJsHVYTZR1maL5l9w,DeepLearningAI
p-ltr1C7u2o,"#31 Machine Learning Specialization [Course 1, Week 3, Lesson 1]",2022-12-01T13:23:03Z,12647,110,0,PT9M48S,hd,,en,False,UCcIXc5mJsHVYTZR1maL5l9w,DeepLearningAI
P_9hNBVRldM,"#28 Machine Learning Specialization [Course 1, Week 2, Lesson 2]",2022-12-01T13:22:54Z,9225,84,1,PT6M7S,hd,,en,False,UCcIXc5mJsHVYTZR1maL5l9w,DeepLearningAI
wiNXzydta4c,"#2 Machine Learning Specialization [Course 1, Week 1, Lesson 1]",2022-12-01T13:21:20Z,50301,440,8,PT4M29S,hd,,en,False,UCcIXc5mJsHVYTZR1maL5l9w,DeepLearningAI
w_2vCijLiiM,"#16 Machine Learning Specialization [Course 1, Week 1, Lesson 4]",2022-12-01T13:22:14Z,15719,167,4,PT10M,hd,,en,False,UCcIXc5mJsHVYTZR1maL5l9w,DeepLearningAI
jFo_gDOOusk,LangChain for LLM Application Development: A short course by DeepLearning.AI,2023-05-31T16:14:15Z,23095,336,8,PT3M5S,hd,,en,False,UCcIXc5mJsHVYTZR1maL5l9w,DeepLearningAI
SHEPb1JHw5o,Logistic Regression Cost Function (C1W2L03),2017-08-25T20:23:07Z,123515,847,46,PT8M12S,sd,,en-GB,False,UCcIXc5mJsHVYTZR1maL5l9w,DeepLearningAI
sca5rQ9x1cA,"#4 Machine Learning Specialization [Course 1, Week 1, Lesson 2]",2022-12-01T13:21:27Z,42985,382,2,PT6M57S,hd,,en,False,UCcIXc5mJsHVYTZR1maL5l9w,DeepLearningAI
YjpCQof9tI8,"#24 Machine Learning Specialization [Course 1, Week 2, Lesson 1]",2022-12-01T13:22:41Z,12923,105,4,PT7M46S,hd,,en,False,UCcIXc5mJsHVYTZR1maL5l9w,DeepLearningAI
gG_wI_uGfIE,"#6 Machine Learning Specialization [Course 1, Week 1, Lesson 2]",2022-12-01T13:21:34Z,26485,341,11,PT8M54S,hd,,en,False,UCcIXc5mJsHVYTZR1maL5l9w,DeepLearningAI
