video_id,title,published,view_count,like_count,comment_count,duration,definition,tags,default_audio_language,madeforkid,channel_id,channelTitle
AtCTU5NcIVU,AI vs Machine Learning: What's the difference?,2022-12-08T15:00:06Z,29363,1325,9,PT54S,hd,,en-US,False,UCKWaEZ-_VweaEx1j62do_vQ,IBM Technology
8T1VLX1Y5eQ,Must know Python Libraries,2023-03-13T18:09:41Z,23220,1389,3,PT35S,hd,"['IBM Cloud', 'python', 'python libraries', 'AI', 'machine learning', 'python machine learning', 'pandas', 'numpy', 'numpie', 'Uptuna', 'Tensorflow', 'Pitorch', 'pytorch']",en-US,False,UCKWaEZ-_VweaEx1j62do_vQ,IBM Technology
yUpJFd-bgsc,Docker in 60 Seconds,2022-08-12T14:32:22Z,25296,1198,22,PT1M1S,hd,"['Computers', 'Computer Science', 'CS', 'Docker', 'Containers', 'Containerization', 'microservices', 'microservice architecture']",en-US,False,UCKWaEZ-_VweaEx1j62do_vQ,IBM Technology
SiTSRuSXnUM,What are Jupyter Notebooks?,2023-04-19T11:00:30Z,16114,813,5,PT43S,hd,"['IBM Cloud', 'python', 'Jupyter notebook', 'Jupiter notebook', 'data science', 'ai']",en-US,False,UCKWaEZ-_VweaEx1j62do_vQ,IBM Technology
p-kAqxuJNik,What is ArgoCD,2022-12-07T12:00:28Z,18823,377,20,PT4M34S,hd,"['IBM Cloud', 'GitOps', 'Git Ops', 'Github', 'Git Hub', 'BitBucket', 'Bit Bucket', 'Kubernetes', 'K8s', 'ArgoCD', 'Argo CD', 'YAML', 'Declarative']",en-US,False,UCKWaEZ-_VweaEx1j62do_vQ,IBM Technology
4RixMPF4xis,AI vs Machine Learning,2023-04-10T11:00:03Z,643346,21310,508,PT5M49S,hd,"['IBM', 'IBM Cloud', 'ai', 'artificialintelligence', 'artificial intelligence', 'ML', 'machinelearning', 'machine learning', 'deep learning', 'deeplearning']",en-US,False,UCKWaEZ-_VweaEx1j62do_vQ,IBM Technology
FZR0rG3HKIk,Virtualization Explained,2019-03-28T15:19:29Z,628152,17652,364,PT5M20S,hd,"['virtualization', 'hypervisor', 'vm', 'virtual machine', 'vms', 'compute', 'storage', 'networking', 'vmware', 'servers', 'applications', 'apps', 'type 1 hypervisor', 'type 2 hypervisor', 'virtual environments', 'bare metal', 'latency', 'security', 'disaster recovery', 'operating system', 'os', 'host os', 'spin up', 'infrastructure', 'downtime', 'host', 'back-up plan', 'what is virtualization?', 'benefits of virtualization', 'future of virtualization']",en,False,UCKWaEZ-_VweaEx1j62do_vQ,IBM Technology
7TqhmX92P6U,What is Monte Carlo Simulation?,2022-07-08T11:00:04Z,161453,2757,56,PT4M35S,hd,"['IBM', 'IBM Cloud']",en-US,False,UCKWaEZ-_VweaEx1j62do_vQ,IBM Technology
lsMQRaeKNDk,What is a REST API?,2020-10-23T18:35:20Z,1300470,35395,860,PT9M12S,hd,"['REST API', 'API', 'HTTP Methods', 'Application Programming Interface', 'Node', 'Cloud Computing', 'IBM Cloud', 'IBM', 'Representational State Transfer', 'Python REST API', 'Java REST API', 'IBM Cloud API Connect']",en-US,False,UCKWaEZ-_VweaEx1j62do_vQ,IBM Technology
yn6CPQ9RioA,Zero Trust Explained in 4 mins,2021-09-09T21:00:42Z,118625,1733,23,PT3M43S,hd,"['security', 'zero trust', 'cyber security', 'cloud security', 'IBM', 'IBM Cloud', 'IBM Security']",en-US,False,UCKWaEZ-_VweaEx1j62do_vQ,IBM Technology
