video_id,title,published,view_count,like_count,comment_count,duration,definition,tags,default_audio_language,madeforkid,channel_id,channelTitle
lpcpsCY4Mco,how programmers attend meetings at big tech companies,2021-09-02T17:20:44Z,5622903,203233,2968,PT38S,hd,"['joma', 'vlog']",en,False,UCV0qA-eDDICsRR9rPcnG7tw,Joma Tech
CK_BCMA9yoY,every productivity and finance guru ever...,2022-08-04T14:52:18Z,1615759,86355,2105,PT49S,hd,"['joma', 'vlog']",en,False,UCV0qA-eDDICsRR9rPcnG7tw,Joma Tech
rR4n-0KYeKQ,how we write/review code in big tech companies,2020-02-10T14:00:07Z,13565093,352813,6731,PT59S,hd,"['joma', 'vlog', 'software engineer', 'code review', 'pull request', 'joma tech', 'junior engineer', 'senior engineer', 'programming', 'coding', 'LGTM']",en,False,UCV0qA-eDDICsRR9rPcnG7tw,Joma Tech
5bId3N7QZec,how programmers overprepare for job interviews,2022-07-23T21:32:27Z,4251168,144413,3137,PT1M10S,hd,"['joma', 'vlog']",en,False,UCV0qA-eDDICsRR9rPcnG7tw,Joma Tech
uHt01D6rOLI,If American Psycho were about Programmers,2019-12-12T20:14:51Z,4600122,238729,5315,PT2M56S,hd,"['joma', 'vlog', 'captain sinbad', 'american psycho', 'programmer', 'keyboard', 'mechanical keyboards', 'christian bale', 'patrick bateman', 'software engineer', 'patagonia', 'engineers', 'silicon valley']",en,False,UCV0qA-eDDICsRR9rPcnG7tw,Joma Tech
pKO9UjSeLew,If Programming Was An Anime,2020-02-24T14:00:07Z,10501201,572789,15632,PT3M26S,hd,"['joma', 'vlog', 'joma tech', 'programming', 'coding', 'leetcode', 'finding duplicate number', 'anime', 'programming anime', 'python', 'software engineer', 'junior engineer', 'senior engineer']",en,False,UCV0qA-eDDICsRR9rPcnG7tw,Joma Tech
qiE7VKRHSsA,If Chess Was An Anime,2021-01-11T16:00:30Z,2308956,88989,2788,PT2M40S,hd,"['joma', 'vlog']",en,False,UCV0qA-eDDICsRR9rPcnG7tw,Joma Tech
vT3GUKuAzIs,how coronavirus affects programmers in big tech companies,2020-03-09T23:00:07Z,5284139,126654,2127,PT1M6S,hd,"['joma', 'vlog']",en,False,UCV0qA-eDDICsRR9rPcnG7tw,Joma Tech
314OLE6mKOo,interviewing at a startup be like... (ft. Steven He),2022-03-10T16:11:21Z,4120231,143500,4376,PT6M51S,hd,"['joma', 'vlog']",en,False,UCV0qA-eDDICsRR9rPcnG7tw,Joma Tech
DlKl8me4Npw,If Programming Was an Anime 3,2022-09-14T15:45:51Z,1293050,77621,2738,PT5M41S,hd,"['joma', 'vlog']",en,False,UCV0qA-eDDICsRR9rPcnG7tw,Joma Tech
KHEZCXfyxjU,if Wolf of Wall Street were about crypto,2022-04-08T15:00:28Z,1938349,84259,2371,PT4M26S,hd,"['joma', 'vlog']",en,False,UCV0qA-eDDICsRR9rPcnG7tw,Joma Tech
sW9npZVpiMI,why you NEED math for programming,2021-01-06T01:05:51Z,8269146,427596,9952,PT5M3S,hd,"['joma', 'vlog']",en,False,UCV0qA-eDDICsRR9rPcnG7tw,Joma Tech
JgdP7oWP0_0,NFT projects in a nutshell,2022-02-19T14:54:12Z,911329,44222,1025,PT2M39S,hd,"['joma', 'vlog']",en,False,UCV0qA-eDDICsRR9rPcnG7tw,Joma Tech
OTfp2_SwxHk,If Programming Was An Anime 2,2020-08-24T14:00:11Z,4547765,225685,5518,PT6M5S,hd,"['joma', 'vlog', 'programming anime', 'software engineer', 'programming interview', 'phone interview', 'captain sinbad', 'coding interview', 'if programming was an anime', 'software engineer interview', 'computer science', 'software engineering']",en,False,UCV0qA-eDDICsRR9rPcnG7tw,Joma Tech
bn_KRzohcAo,if “normal” job interviews were like coding interviews,2022-10-11T21:52:01Z,2332460,97200,1601,PT2M,hd,"['joma', 'vlog']",en,False,UCV0qA-eDDICsRR9rPcnG7tw,Joma Tech
1It1GhuRBKY,when you join a meeting too early so you try to small talk,2023-01-27T17:20:58Z,573792,36364,1056,PT3M6S,hd,"['joma', 'vlog']",en,False,UCV0qA-eDDICsRR9rPcnG7tw,Joma Tech
X34ZmkeZDos,Why Microsoft Word is the best IDE for programming,2021-02-10T03:13:29Z,3620635,161648,7064,PT4M14S,hd,"['joma', 'vlog']",en,False,UCV0qA-eDDICsRR9rPcnG7tw,Joma Tech
HTXTVfBCeSY,I Got Rejected By A 22-Year Old CEO,2020-01-27T14:00:04Z,3862822,76502,2307,PT7M,hd,"['joma', 'vlog', 'scale', 'scala ai', 'scaleapi', 'startup', 'alexandr wang', '22 year old CEO', 'interview', 'software engineering', 'software engineer', 'software interview', 'coding interview', 'coding project']",en,False,UCV0qA-eDDICsRR9rPcnG7tw,Joma Tech
xC-c7E5PK0Y,What REALLY is Data Science? Told by a Data Scientist,2018-06-23T01:51:50Z,3641953,139472,3568,PT11M9S,hd,"['joma', 'vlog', 'data science', 'data scientist', 'facebook', 'google', 'netflix', 'amazon', 'data analyst', 'business intelligence', 'AI', 'deep learning', 'big data']",en,False,UCV0qA-eDDICsRR9rPcnG7tw,Joma Tech
4Z6lxfglvUU,3 Types of Data Science Interview Questions,2018-07-01T02:37:00Z,632950,21970,586,PT8M9S,hd,"['joma', 'vlog', 'Data science', 'data scientist', 'data science interview', 'joma tech', 'quant interview', 'quantitative interview', 'brilliant', 'brilliant.org', 'data science interview questions']",en,False,UCV0qA-eDDICsRR9rPcnG7tw,Joma Tech
EiKK04Ht8QI,Don't Be A Programmer,2018-08-31T16:00:04Z,3233187,176537,6214,PT3M45S,hd,"['joma', 'vlog', 'progammer', 'ibm', 'call for code', 'software engineer', 'programming', ""don't be a programmer"", 'engineer']",en,False,UCV0qA-eDDICsRR9rPcnG7tw,Joma Tech
lo1HRGl1CvE,Let's talk about Tech Layoffs | tech news,2023-02-06T14:34:17Z,1406041,101779,4826,PT10M29S,hd,"['joma', 'vlog']",en,False,UCV0qA-eDDICsRR9rPcnG7tw,Joma Tech
Rgx8dpiPwpA,a day in the life of an engineer working from home,2021-05-23T06:15:41Z,19622082,469868,12569,PT8M42S,hd,"['joma', 'vlog', 'day in the life', 'software engineering', 'software engineer', 'day in the life of a software engineer', 'work from home', 'a day in the life']",en,False,UCV0qA-eDDICsRR9rPcnG7tw,Joma Tech
pvimAM_SLic,Can you solve my favorite interview question? (math + cs),2020-01-15T14:00:18Z,1698679,59774,2197,PT8M58S,hd,"['joma', 'vlog', 'joma tech', 'interview', 'coding', 'math', 'statistics', 'monte carlo', 'programming', 'coding interview', 'brain teaser', 'math puzzle', 'interview question', 'problem solving', 'programming interview']",en,False,UCV0qA-eDDICsRR9rPcnG7tw,Joma Tech
WVct5y3hBEg,A recap of ChatGPT | tech news,2023-02-13T14:02:29Z,846174,52988,1862,PT14M36S,hd,"['joma', 'vlog']",en,False,UCV0qA-eDDICsRR9rPcnG7tw,Joma Tech
Hv6EMd8dlQk,if Apple made window blinds...,2021-08-06T13:00:09Z,5617435,259902,9496,PT8M16S,hd,"['joma', 'vlog']",en,False,UCV0qA-eDDICsRR9rPcnG7tw,Joma Tech
vmYaAzbv9xk,Data Scientists vs Data Engineers: Which one is for you?,2019-12-19T22:00:13Z,320958,8940,404,PT9M33S,hd,"['joma', 'vlog', 'data scientist', 'data science', 'data engineer', 'data engineering', 'data engineer vs data scientist', 'data scientist vs data analyst vs data engineer', 'data scientist vs data engineer', 'role of data scientist', 'data engineer skills', 'data scientist vs data analyst', 'joma tech', 'data science career', 'facebook data science', 'facebook analytics']",en,False,UCV0qA-eDDICsRR9rPcnG7tw,Joma Tech
1fPWr0d5zBE,10 years of coding in 13 minutes,2021-10-19T16:21:34Z,4656930,189526,4479,PT13M28S,hd,"['joma', 'vlog']",en,False,UCV0qA-eDDICsRR9rPcnG7tw,Joma Tech
GqiCzLrKkCo,"a mailchimp ad, but also a video",2022-12-10T17:16:25Z,321495,17090,727,PT3M54S,hd,"['joma', 'vlog', 'Email marketing', 'website builder', 'crm', 'marketing automation', 'landing page', 'e-commerce website', 'domain name', 'free website', 'online store', 'digital marketing', 'blindr', 'eric wang', 'window blinds']",en,False,UCV0qA-eDDICsRR9rPcnG7tw,Joma Tech
Pb3AAfz5Yjg,Top 3 Programming Languages to Learn in 2019,2019-06-14T13:00:07Z,1198893,42599,1980,PT16M29S,hd,"['joma', 'vlog', 'top programming languages', 'top programming languages 2019', 'top programming languages 2018', 'top programming languages 2017', 'programming language', 'programming languages 2019', 'software development', 'which programming language to learn', 'best programming language', 'programming languages', 'learn programming', 'most in demand programming languages 2019', 'top 3 programming languages 2019', 'top 5 programming language 2019', 'joma tech']",en,False,UCV0qA-eDDICsRR9rPcnG7tw,Joma Tech
7ZcmboYbNPQ,The man who saved New York City using Data Science,2021-11-02T16:23:37Z,635325,46058,1849,PT11M42S,hd,"['joma', 'vlog']",en,False,UCV0qA-eDDICsRR9rPcnG7tw,Joma Tech
TLysAkFM4cA,a day in the life of a startup engineer working from home,2021-12-15T15:48:55Z,2964383,113836,4116,PT8M36S,hd,"['joma', 'vlog', 'software engineer', 'day in the life', 'day in the life of a software engineer', 'work from home', 'Logitech', 'Logitech webcams', 'webcams', 'Work from Home', 'video calls', 'Video call quality', 'Zoom video quality', 'Best zoom call quality', 'Best webcam', 'Logitech 4K webcam', 'Logitech Brio', 'Logitech C920', 'Logitech C922']",en,False,UCV0qA-eDDICsRR9rPcnG7tw,Joma Tech
Qd2Kh80ZK6k,Interview with a Quant from Two Sigma (My brother),2018-06-10T23:00:01Z,930028,20102,857,PT20M5S,hd,"['Interview', 'interview two sigma', 'two sigma', 'quant', 'quantitative finance', 'quantitative researcher', 'citadel', 'david ma', 'joma', 'joma vlog', 'jomatech']",en,False,UCV0qA-eDDICsRR9rPcnG7tw,Joma Tech
ZpDyGKDG_Go,Startup Episode 4 Teaser,2018-02-19T08:35:58Z,17428,483,82,PT38S,hd,"['joma', 'startup', 'startup 04', 'IV', 'startup teaser']",en,False,UCV0qA-eDDICsRR9rPcnG7tw,Joma Tech
NGqWR-o_H8E,Do Kwon: The Rise And Fall of Luna & UST,2022-07-16T15:01:21Z,609457,25827,1044,PT10M53S,hd,"['joma', 'vlog']",en,False,UCV0qA-eDDICsRR9rPcnG7tw,Joma Tech
oCqkVZVPOe8,crypto traders be like...,2022-01-29T14:36:05Z,3100220,125065,4842,PT5M36S,hd,"['joma', 'vlog']",en,False,UCV0qA-eDDICsRR9rPcnG7tw,Joma Tech
YBYI7E2PqWE,If Squid Game were about Programmers,2021-11-26T06:14:53Z,1689787,77197,1729,PT6M53S,hd,"['joma', 'vlog']",en,False,UCV0qA-eDDICsRR9rPcnG7tw,Joma Tech
synJZAtH58E,"when you rob a big tech company, but the employees are...",2022-11-11T14:29:15Z,3982559,160520,2918,PT2M34S,hd,"['joma', 'vlog']",en,False,UCV0qA-eDDICsRR9rPcnG7tw,Joma Tech
BdHaeczStRA,Microsoft vs Google: AI War Explained | tech news,2023-02-20T14:29:56Z,822973,45887,2564,PT13M16S,hd,"['joma', 'vlog']",en,False,UCV0qA-eDDICsRR9rPcnG7tw,Joma Tech
