video_id,title,published,view_count,like_count,comment_count,duration,definition,tags,default_audio_language,madeforkid,channel_id,channelTitle
FyMLiGiAiZs,Pro Robots team at World Robot Conference  | Day 4 | WRC 2023 | Pro Robots,2023-08-19T14:00:10Z,27230,988,40,PT23S,hd,"['PRO Robots team at The WRC 2023 in China', 'WRC 2023 in China', 'amazing facts', 'artificial intelligence', 'exhibition', 'exhibition 2023', 'future technology', 'incredible robots', 'industrial robots', 'interesting robots', 'inventions', 'inventions of the future', 'new technology', 'pro robots', 'robot', 'robot dog', 'robot exhibition', 'robot exhibition 2023', 'robot exhibition in china', 'robot from dna', 'robot humanoid', 'robots', 'technology', 'technology news', 'world robot conference', 'wrc 2023']",en-US,False,UCu8luTDe_Xxd2ahAXsCWX5g,PRO ROBOTS
2NV8hkkOy6c,girl robot humanoid,2022-04-21T15:57:22Z,4715130,92969,2793,PT10S,hd,,en,False,UCu8luTDe_Xxd2ahAXsCWX5g,PRO ROBOTS
e8RAeq6q-CY,Robot Plays Basketball | New Technology | PRO Robots,2023-08-17T13:00:27Z,23486,462,43,PT11S,hd,"['Dance robot', 'ai', 'artificial intelligence', 'basketball', 'basketball robot', 'boston dynamics', 'cool tech', 'dance', 'future tech', 'future technology', 'japanese basketball robot', 'machine learning', 'new gadgets', 'norway robot playing pickleball', 'pro robots', 'robo basketball', 'robo sport', 'robot', 'robot cartoon', 'robot dance', 'robot dog', 'robot dogs', 'robot playing pickleball', 'robots', 'technology', 'war robots']",en-US,False,UCu8luTDe_Xxd2ahAXsCWX5g,PRO ROBOTS
tdUwWOZPn1M,ICRA 2023: The best robots that will change the world! | Robots of the future | Pro Robots,2023-06-06T13:30:08Z,762116,6920,439,PT15M13S,hd,"['robot exhibition', 'robot exhibition 2023', 'robots', 'technology', 'robot', 'inventions of the future', 'future technology', 'technology news', 'interesting robots', 'intelligent robots', 'industrial robots', 'exhibition 2023', 'artificial intelligence', 'pro robots', 'robot dog', 'robot humanoid', 'icra 2023', '1X', 'Halodi Robotics', 'Ameca', 'Deep Robotics', 'Unitree Robotics', 'Shadow Robot', 'Direct Drive Tech', 'Robot Learning Lab', 'Pollen Robotics', 'The best robots that will change the world', 'Robots of the future']",en,False,UCu8luTDe_Xxd2ahAXsCWX5g,PRO ROBOTS
x2ep5EI4ivY,IREX 2023 - Japan's largest robot exhibition | The latest robots and amazing gadgets! | Pro Robots,2023-12-08T13:27:37Z,216600,2780,119,PT16M39S,hd,"['robot exhibition', 'robot exhibition 2023', 'irex 2023', 'robots', 'technology', 'robot', 'exhibition', 'the newest and coolest robots', 'inventions', 'future technology', 'amazing facts', 'technology news', 'interesting robots', 'industrial robots', 'exhibition 2023', 'artificial intelligence', 'pro robots', 'robot dog', 'robot humanoid', 'robot exhibition in japan', 'IREX 2023', ""Japan's largest robot exhibition"", 'The future of logistics from YAMAHA', 'musk', 'AI', 'ChatGPT', 'GPT', 'prorobots', 'android', 'space', 'spacex', 'USA', 'China']",en,False,UCu8luTDe_Xxd2ahAXsCWX5g,PRO ROBOTS
mSSjxra9oQk,GITEX 2023: A Glimpse into the Future of Technology in Dubai | Amazing Technology | Pro Robots,2023-10-26T14:00:30Z,125496,1527,58,PT19M1S,hd,"['robots', 'robot', 'pro robots', 'Gitex 2023', 'future technology', 'Amazing Technology', 'Pro Robots', 'Artificial Intelligence', '3D Scanning', 'prorobots', 'ai', 'X30 from DeepRobotics', 'Dubai Police Patrol Robot', 'RoboADS mobile robots', 'roboads', 'ai news', 'robot exhibition', 'Glimpse into the Future of Technology', 'VENDING LAB TECHNOLOGIES', 'robot exhibition Gitex 2023 global', 'Mercedes-Benz Vision One-Eleven', 'IREX 2023', 'robots movie', 'humanoid robots', 'industrial robots', 'cool robots', 'Gitex']",en,False,UCu8luTDe_Xxd2ahAXsCWX5g,PRO ROBOTS
XmI8_f39o_I,China's Robotics Boom: How Machines are Transforming the Future! #prorobots,2023-09-06T15:00:21Z,3976,208,2,PT46S,hd,"['Growth of the robotics industry in China', 'robot exhibition', 'robot exhibition 2023', 'robots', 'technology', 'robot', 'exhibition', 'the newest and coolest robots', 'inventions of the future', 'future technology', 'technology news', 'new technology', 'incredible robots', 'interesting robots', 'intelligent robots', 'robot transformers', 'industrial robots', 'exhibition 2023', 'artificial intelligence', 'pro robots', 'robot humanoid', 'robot exhibition in china', 'robot barista', 'china', 'china robot', 'wrc', 'wrc 2023']",en,False,UCu8luTDe_Xxd2ahAXsCWX5g,PRO ROBOTS
8cJV08MTwA0,WRC 2023 - China's largest robot exhibition | Robots and technologies at the exhibition in China,2023-08-26T12:30:10Z,1846231,15756,1432,PT22M12S,hd,"['amazing facts', 'artificial intelligence', 'china', 'exhibition', 'exhibition 2023', 'future technology', 'incredible robots', 'industrial robots', 'intelligent robots', 'interesting robots', 'inventions', 'inventions of the future', 'new technology', 'pro robots', 'robot dog', 'robot exhibition', 'robot exhibition 2023', 'robot exhibition in china', 'robot from dna', 'robot humanoid', 'robot transformers', 'robots', 'technology', 'technology news', 'the newest and coolest robots', 'world robot conference 2023', 'wrc 2023']",en-US,False,UCu8luTDe_Xxd2ahAXsCWX5g,PRO ROBOTS
OeJ-RGFetgY,DARPA - robots and technologies for the future management of advanced US research | PRO Robots,2023-08-12T13:30:10Z,71893,884,57,PT11M30S,hd,"['DARPA', 'Defense Advanced Research Projects Agency', 'DARPA mission', 'Boston Dynamics', 'GPS', 'robot', 'robots', 'Siri', 'Artificial Intelligence', 'Artificial Intelligence Center', 'defense', 'military', 'technology', 'Autonomous robots', 'unmanned vehicles', 'self-driving cars', 'robot Spot', 'Atlas robot', 'drone Echo Voyager', 'pro robots', 'darpa', 'artificial intelligence', 'DARPA - robots and technologies for the future management of advanced US research', 'military robot', 'usa military', 'future military technology']",en,False,UCu8luTDe_Xxd2ahAXsCWX5g,PRO ROBOTS
CnwGrI6T7X0,Legendary CES-2023 in Las Vegas | The Color-Changing Car And Technology of The Future | PRO Robots,2023-01-17T16:47:20Z,284528,3371,163,PT23M27S,hd,"['ces 2023', 'ces tech', 'consumer tech', 'las vegas', 'best of ces', 'ces 2023 laptops', 'ces 2023 cars', 'ces 2023 sony', 'ces 2023 gaming laptops', 'ces 2023 las vegas', 'ces 2023 samsung', 'new tech', 'new technology', 'ces tech 2023', 'ces technology show', 'best of ces 2023', 'humanoid', 'humanoids', 'humans and robots', 'latest robots', 'future technology', 'engineering', 'innovative technology', 'modern technology', 'pro robots', 'CES 2023 smart home', 'CES 2023 cars', 'CES tech', 'new technology 2023', 'ces', 'tech']",en,False,UCu8luTDe_Xxd2ahAXsCWX5g,PRO ROBOTS
