video_id,title,published,view_count,like_count,comment_count,duration,definition,tags,default_audio_language,madeforkid,channel_id,channelTitle
953NHzFtGHc,Likelihood vs Probability,2023-05-15T04:00:08Z,21789,1596,62,PT30S,hd,"['Josh Starmer', 'StatQuest', 'Machine Learning', 'Statistics', 'Data Science']",en,False,UCtYLUTtgS3k1Fg4y5tAhLbw,StatQuest with Josh Starmer
8ZcccMzTz7Y,What is a Logit?,2023-06-19T04:00:04Z,13360,523,26,PT29S,hd,"['Josh Starmer', 'StatQuest', 'Machine Learning', 'Statistics', 'Data Science']",en,False,UCtYLUTtgS3k1Fg4y5tAhLbw,StatQuest with Josh Starmer
wtLQUjfomig,The Exponential Distribution,2022-01-14T19:44:47Z,54762,1548,133,PT16S,hd,,en,False,UCtYLUTtgS3k1Fg4y5tAhLbw,StatQuest with Josh Starmer
PWvfrTgaPBI,"The Sensitivity, Specificity, Precision, Recall Sing-a-Long!!!",2022-02-10T17:19:53Z,55198,2127,129,PT42S,hd,"['Josh Starmer', 'StatQuest', 'Machine Learning', 'Statistics', 'Data Science']",en,False,UCtYLUTtgS3k1Fg4y5tAhLbw,StatQuest with Josh Starmer
ccjrsxXmfnw,PCA Eigenvalues,2023-03-21T17:13:30Z,13467,614,29,PT32S,hd,"['Josh Starmer', 'StatQuest', 'Machine Learning', 'Statistics', 'Data Science']",en,False,UCtYLUTtgS3k1Fg4y5tAhLbw,StatQuest with Josh Starmer
HMOI_lkzW08,StatQuest: PCA main ideas in only 5 minutes!!!,2017-12-04T20:18:06Z,1123209,23135,695,PT6M5S,hd,"['StatQuest', 'Joshua Starmer', 'Principal Component Analysis', 'PCA', 'Machine Learning', 'PCA Plot']",en,False,UCtYLUTtgS3k1Fg4y5tAhLbw,StatQuest with Josh Starmer
fSytzGwwBVw,Machine Learning Fundamentals: Cross Validation,2018-04-24T18:37:54Z,962554,29074,1433,PT6M5S,hd,"['Josh Starmer', 'StatQuest', 'Machine Learning', 'Cross Valdiation', 'Statistics', 'Data Science']",en,False,UCtYLUTtgS3k1Fg4y5tAhLbw,StatQuest with Josh Starmer
A82brFpdr9g,"Standard Deviation vs Standard Error, Clearly Explained!!!",2017-03-20T15:03:59Z,441733,8925,425,PT2M52S,sd,"['StatQuest', 'StatQuickie', 'Statistics', 'Standard Deviation', 'Standard Error']",en,False,UCtYLUTtgS3k1Fg4y5tAhLbw,StatQuest with Josh Starmer
pYxNSUDSFH4,Probability is not Likelihood. Find out why!!!,2018-03-09T19:38:43Z,1122739,30124,1165,PT5M1S,hd,"['StatQuest', 'Joshua Starmer', 'Probability', 'Likelihood', 'Statistics', 'Maximum Likelihood']",en,False,UCtYLUTtgS3k1Fg4y5tAhLbw,StatQuest with Josh Starmer
EuBBz3bI-aA,Machine Learning Fundamentals: Bias and Variance,2018-09-17T16:00:42Z,1142773,32587,1353,PT6M36S,hd,"['Joshua Starmer', 'StatQuest', 'Machine Learning', 'Bias', 'Variance', 'Statistics', 'Data Mining', 'Clearly Explained', 'Data Science']",en,False,UCtYLUTtgS3k1Fg4y5tAhLbw,StatQuest with Josh Starmer
Xz0x-8-cgaQ,Bootstrapping Main Ideas!!!,2021-07-06T04:00:15Z,373190,10895,587,PT9M27S,hd,"['Josh Starmer', 'StatQuest', 'Machine Learning', 'Statistics', 'Data Science']",en,False,UCtYLUTtgS3k1Fg4y5tAhLbw,StatQuest with Josh Starmer
qBigTkBLU6g,"StatQuest: Histograms, Clearly Explained",2017-09-25T13:38:28Z,577906,9785,287,PT3M42S,hd,"['StatQuest', 'Joshua Starmer', 'Statistics', 'Histograms']",en,False,UCtYLUTtgS3k1Fg4y5tAhLbw,StatQuest with Josh Starmer
HVXime0nQeI,"StatQuest: K-nearest neighbors, Clearly Explained",2017-06-26T18:54:55Z,534614,10114,410,PT5M30S,hd,"['KNN', 'K-nearest neighbors', 'nearest neighbors', 'Joshua Starmer', 'StatQuest', 'Machine Learning', 'Data Mining', 'Classification']",en,False,UCtYLUTtgS3k1Fg4y5tAhLbw,StatQuest with Josh Starmer
yIYKR4sgzI8,StatQuest: Logistic Regression,2018-03-05T15:17:39Z,1943115,34571,1134,PT8M48S,hd,"['Joshua Starmer', 'StatQuest', 'Statistics', 'Machine Learning', 'Logistic Regression']",en,False,UCtYLUTtgS3k1Fg4y5tAhLbw,StatQuest with Josh Starmer
J4Wdy0Wc_xQ,"StatQuest: Random Forests Part 1 - Building, Using and Evaluating",2018-02-05T15:55:40Z,1015357,17333,1256,PT9M54S,hd,"['StatQuest', 'Joshua Starmer', 'Machine Learning', 'Random Forest', 'Decision Trees', 'Statistics']",en,False,UCtYLUTtgS3k1Fg4y5tAhLbw,StatQuest with Josh Starmer
vemZtEM63GY,p-values: What they are and how to interpret them,2020-03-23T04:00:17Z,964424,22034,924,PT11M21S,hd,"['Josh Starmer', 'StatQuest', 'Machine Learning', 'Statistics', 'Data Science']",en,False,UCtYLUTtgS3k1Fg4y5tAhLbw,StatQuest with Josh Starmer
YAlJCEDH2uY,"The Central Limit Theorem, Clearly Explained!!!",2018-09-03T17:04:06Z,630663,17068,979,PT7M35S,hd,"['Joshua Starmer', 'StatQuest', 'Central Limit Theorem', 'Statistics', 'Clearly Explained', 'CLT', 'The normal distribution']",en,False,UCtYLUTtgS3k1Fg4y5tAhLbw,StatQuest with Josh Starmer
oI3hZJqXJuc,The Main Ideas behind Probability Distributions,2017-04-17T17:55:46Z,356963,6800,225,PT5M15S,sd,"['StatQuest', 'Joshua Starmer', 'Statistical Distribution', 'Statistics', 'Histogram', 'Normal Curve', 'clearle explained']",en,False,UCtYLUTtgS3k1Fg4y5tAhLbw,StatQuest with Josh Starmer
4b5d3muPQmA,StatQuest: K-means clustering,2018-05-23T20:18:55Z,1415330,28012,1084,PT8M31S,hd,"['StatQuest', 'Joshua Starmer', 'k-means clustering', 'statistics', 'machine learning', 'data science', 'visualization', 'clustering']",en,False,UCtYLUTtgS3k1Fg4y5tAhLbw,StatQuest with Josh Starmer
TqOeMYtOc1w,"Confidence Intervals, Clearly Explained!!!",2015-07-09T16:43:04Z,294248,5878,322,PT6M42S,sd,"['Statistics (Field Of Study)', 'Confidence Interval (Literature Subject)']",en,False,UCtYLUTtgS3k1Fg4y5tAhLbw,StatQuest with Josh Starmer
4jRBRDbJemM,"ROC and AUC, Clearly Explained!",2019-07-11T21:15:02Z,1317276,32245,1929,PT16M17S,hd,"['Josh Starmer', 'StatQuest', 'ROC', 'Receiver Operator Characteristic', 'AUC', 'Area Under the Curve', 'Machine Learning', 'Classification', 'Optimization']",en,False,UCtYLUTtgS3k1Fg4y5tAhLbw,StatQuest with Josh Starmer
NEaUSP4YerM,"StatQuest: t-SNE, Clearly Explained",2017-09-18T14:55:30Z,415064,10213,716,PT11M48S,hd,"['StatQuest', 'Joshua Starmer', 't-SNE', 'Machine Learning', 'Graphing', 'Single Cell RNA-sequencing']",en,False,UCtYLUTtgS3k1Fg4y5tAhLbw,StatQuest with Josh Starmer
Rsc5znwR5FA,"Statistical Power, Clearly Explained!!!",2020-05-04T04:00:11Z,247983,5907,288,PT8M19S,hd,"['Josh Starmer', 'StatQuest', 'Machine Learning', 'Statistics', 'Data Science', 'power', 'p-values']",en,False,UCtYLUTtgS3k1Fg4y5tAhLbw,StatQuest with Josh Starmer
Kdsp6soqA7o,Machine Learning Fundamentals: The Confusion Matrix,2018-10-29T14:00:01Z,580749,13837,629,PT7M13S,hd,"['Josh Starmer', 'StatQuest', 'Statistics', 'Machine Learning', 'Cross Validation', 'Confusion Matrix']",en,False,UCtYLUTtgS3k1Fg4y5tAhLbw,StatQuest with Josh Starmer
ARfXDSkQf1Y,"Odds and Log(Odds), Clearly Explained!!!",2018-05-07T17:30:36Z,315017,9183,623,PT11M31S,hd,"['Joshua Starmer', 'StatQuest', 'Statistics', 'Machine Learning', 'Data Mining', 'Bioinformatics', 'Odds', 'Log Odds', 'Logit Function', 'Logistic Regression']",en,False,UCtYLUTtgS3k1Fg4y5tAhLbw,StatQuest with Josh Starmer
