Comment_id,author,Reply_for,Type,video_id,total_reply,like_count,published_at,textdisplay,updatedat
Ugy0Y2S8xhNB7SJkrP94AaABAg,@adamsimmons6876,,1.0,XCIBOl3FTKo,1.0,0.0,2023-12-10T01:40:21Z,I did it! this was my first tiny project! thank you i learned al ot!,2023-12-10T01:40:21Z
Ugy0Y2S8xhNB7SJkrP94AaABAg.9y7OLeMy8bk9yLxZ_NnKl0,@snehamalipatil149,Ugy0Y2S8xhNB7SJkrP94AaABAg,2.0,XCIBOl3FTKo,0.0,0.0,2023-12-15T17:26:11Z,Hey I&#39;m not getting the o/p,2023-12-15T17:26:11Z
Ugy5_jZ1Va0zoaGit5p4AaABAg,@TimVandeSluisArtist,,1.0,XCIBOl3FTKo,0.0,0.0,2023-11-24T18:23:28Z,"Great tutorial. It took me a little time to see the correlation between the user input changing the default state of has_number and has_special, and how that ultimately influenced what characters the program kept and discarded during the while loop. This tutorial has helped me understand how to break down the &#39;problem&#39; into much smaller steps. Thanks.",2023-11-24T18:23:28Z
UgwR1O_2qC_kPwI0zd54AaABAg,@jfmjaco5941,,1.0,XCIBOl3FTKo,0.0,0.0,2023-11-23T23:04:07Z,You need a max numbe,2023-11-23T23:04:07Z
UgwmZTez9QT2OYLuYbF4AaABAg,@PA-bu5cs,,1.0,XCIBOl3FTKo,0.0,0.0,2023-11-23T20:34:36Z,Great work - However I would prefere if you could slow down a little bit :) And maybe explain a little more thorough how each components relates to one another - its kinda trycka for a noooooob like me,2023-11-23T20:34:36Z
Ugx6JClR5qXw_KDtWFx4AaABAg,@deborahbopeya8150,,1.0,XCIBOl3FTKo,0.0,0.0,2023-11-16T03:06:26Z,Thank you so much ❤ you are a big help,2023-11-16T03:06:26Z
UgxxD7-XcSrQOPevI6h4AaABAg,@teju4443,,1.0,XCIBOl3FTKo,0.0,0.0,2023-11-07T14:36:00Z,In which software did you implement this code,2023-11-07T14:36:00Z
UgzTQBKIWqc14PG8a2N4AaABAg,@cherryblossoms5970,,1.0,XCIBOl3FTKo,0.0,0.0,2023-11-06T12:38:19Z,"<a href=""https://www.youtube.com/watch?v=XCIBOl3FTKo&amp;t=17m56s"">17:56</a> in if number condition body that spelling is incorrect so how it didn&#39;t give you error ? But you fixed the special character body.<br>Sorry its only one month passed I&#39;m learning python with the help of youtube.",2023-11-06T12:38:19Z
Ugxsdnjja3pdIffj00Z4AaABAg,@Jo.o0o,,1.0,XCIBOl3FTKo,0.0,0.0,2023-10-13T04:46:13Z,Only been learning Python for 2 days now and this is the first project I fully understood :) slightly proud of myself,2023-10-13T04:46:13Z
UgxQcjJji1i37sUxXB14AaABAg,@MysteryMindset636,,1.0,XCIBOl3FTKo,0.0,0.0,2023-10-09T11:02:38Z,yes bro make more vedios on projects that helps me as a begineer,2023-10-09T11:02:38Z
