video_id,title,published,view_count,like_count,comment_count,duration,definition,tags,default_audio_language,madeforkid,channel_id,channelTitle
1Zku-mXDY9g,Why You Should Learn C++,2023-02-14T14:00:03Z,257394,13096,330,PT35S,hd,"['tech with tim', 'programming', 'coding', 'c++', 'learn c++', 'c++ tutorial', 'should you learn c++', 'is c++ hard', 'is c++ worth learning', 'should I learn c++', 'should you learn c++ 2023', 'c++ 2023', 'c++ programming', 'c++ coding', 'software engineer', 'computer science', 'c++ language']",en-CA,False,UC4JX40jDee_tINbkjycV4Sg,Tech With Tim
9fZwZob3lGA,Understand a Blockchain in 40 Seconds,2023-03-25T14:00:05Z,15224,776,13,PT42S,hd,"['tech with tim', 'programming', 'coding', 'web 3', 'blockchain', 'what is a blockchain', 'blockchain tutorial', 'understand a blockchain', 'blockchain definition']",en-CA,False,UC4JX40jDee_tINbkjycV4Sg,Tech With Tim
qTWiG1krM2k,What is an API?,2023-03-18T14:00:25Z,26662,1827,13,PT26S,hd,"['tech with tim', 'api', 'application programming interface', 'what is an api', 'api definition', 'what is an api call', 'what is an api in programming', 'api coding', 'how to make an api']",en-CA,False,UC4JX40jDee_tINbkjycV4Sg,Tech With Tim
Liz-F0pY1Pw,Will AI Replace Programmers?,2023-05-28T13:00:13Z,35587,1383,90,PT45S,hd,['tech with tim'],en-CA,False,UC4JX40jDee_tINbkjycV4Sg,Tech With Tim
v6sI1tidSw8,Asynchronous Programming in a Nutshell,2023-05-10T13:00:51Z,43219,2878,48,PT1M,hd,['tech with tim'],en-CA,False,UC4JX40jDee_tINbkjycV4Sg,Tech With Tim
xnFGXXYhW_I,Why Python is the Perfect First Language to Learn,2023-04-22T13:00:41Z,191035,9539,143,PT40S,hd,"['python programming', 'learn python', 'coding', 'software development', 'tech with tim', 'programming tutorial', 'python tutorial', 'python beginner', 'software engineering', 'coding for beginners']",en-CA,False,UC4JX40jDee_tINbkjycV4Sg,Tech With Tim
p7AsUMDiXrs,Reasons To Get a Software Engineering Degree,2023-04-06T14:00:28Z,157355,7637,132,PT36S,hd,"['tech with tim', 'software engineering', 'computer science', 'degree', 'education', 'career', 'programming', 'tech careers', 'technology', 'computer programming', 'computer engineering', 'job prospects', 'technology jobs', 'software development', 'job market', 'tech industry']",en-CA,False,UC4JX40jDee_tINbkjycV4Sg,Tech With Tim
JmhgkCk865o,Python vs Javascript - Which should you learn?,2023-04-24T13:00:21Z,146781,7150,108,PT50S,hd,['tech with tim'],en-CA,False,UC4JX40jDee_tINbkjycV4Sg,Tech With Tim
hneIC0f-pFg,Biggest Opportunity For Programmers in 2023?,2023-02-04T14:00:32Z,110361,5586,102,PT46S,hd,"['tech with tim', 'blockchain', 'web3', 'programmer opportuntiy', 'learn web3', 'web3 tutorial', 'web 3', 'blockchain development', 'should you learn web3', 'should you learn blockchain', 'web 3 vs web 2', 'blockchain engineer', 'software engineer web 3', 'web 3 developer', 'web 3 engineer', 'blockchain programmer']",en-CA,False,UC4JX40jDee_tINbkjycV4Sg,Tech With Tim
Gj02l0R1drM,Django VS Flask - Which Should You Learn,2023-05-08T13:00:14Z,140250,7135,87,PT59S,hd,['tech with tim'],en-CA,False,UC4JX40jDee_tINbkjycV4Sg,Tech With Tim
hl8QKaXE_Vg,Python Developers... Learn DJANGO,2023-02-12T14:00:19Z,141374,7536,71,PT35S,hd,"['tech with tim', 'django', 'django website', 'django web development', 'django web app tutorial', 'django web application', 'learn django', 'tech with tim django', 'how to learn django', 'django tutorial', 'software engineering', 'coding', 'programming', 'python', 'python django', 'python django tutorial']",en-CA,False,UC4JX40jDee_tINbkjycV4Sg,Tech With Tim
RK9mfuFgm54,How Should You Use ChatGPT As A Developer?,2023-05-28T13:00:25Z,50466,2320,40,PT47S,hd,['tech with tim'],en-CA,False,UC4JX40jDee_tINbkjycV4Sg,Tech With Tim
eg2mRZ4gm_Y,The BEST Advice For Computer Science Students,2023-01-31T14:00:20Z,185226,9125,146,PT43S,hd,"['tech with tim', 'advice for computer science students', 'computer science students', 'computer science', 'computer science student advice', 'how to pass computer science', 'computer science student', 'computer science student adv', 'tips for computer science students', 'tech with tim computer science', 'tips for computer science']",en-CA,False,UC4JX40jDee_tINbkjycV4Sg,Tech With Tim
L9pw3kbc4KI,*args & **kwargs in Python - Accept Unlimited Arguments,2021-10-03T15:00:07Z,70092,4620,54,PT1M,hd,"['tech with tim', 'tech with tim tutorial', 'python', 'python programming', 'learn python', 'python *args and **kwargs', '*args', '*kwargs', '*args python', '**kwargs python', '*args and **kwargs python', '*args and **kwargs in python explained', '*args and **kwargs in python', '*args and **kwargs', '*args in python 3', '**kwargs and *args in python', '*args and **kwargs tutorial']",en-CA,False,UC4JX40jDee_tINbkjycV4Sg,Tech With Tim
6dsuowZVv6Q,Learning Programming Design Patterns,2023-04-07T14:00:08Z,95122,6445,60,PT40S,hd,"['tech with tim', 'programming', 'design patterns', 'software development', 'coding', 'computer science', 'object-oriented programming', 'software design', 'software architecture', 'software engineering', 'code patterns', 'software patterns', 'design principles', 'software development fundamentals', 'programming basics', 'programming concepts', 'software design patterns', 'programming patterns', 'programming best practices', 'programming tips', 'software development tips.']",en-CA,False,UC4JX40jDee_tINbkjycV4Sg,Tech With Tim
bAyrRXFCVkk,Is This The Programming Language Of The Future?,2023-06-15T21:11:56Z,86494,4825,88,PT46S,hd,['tech with tim'],en-CA,False,UC4JX40jDee_tINbkjycV4Sg,Tech With Tim
DiQe_rowIuA,bin() in Python - Convert Numbers To Binary & Decimal,2021-10-07T15:00:04Z,73656,4469,42,PT50S,hd,"['tech with tim', 'python shorts', 'python', 'bin() python', 'python bin()', 'bin python', 'binary python', 'python binary', 'convert to binary python', 'python convert to binary', 'how to convert to binary python', 'python binary numbers', 'convert int to binary python', 'binary number python', 'python binary tutorial']",en-CA,False,UC4JX40jDee_tINbkjycV4Sg,Tech With Tim
kyrlXEHXyKs,Why You NEED To Learn System Design,2023-02-16T14:00:32Z,22542,1181,15,PT36S,hd,"['tech with tim', 'system design', 'learn system design', 'system architecture', 'system architecture design', 'programming', 'computer science', 'coding', 'software engineering', 'system design tutorial', 'why you should learn system design', 'learning system design', 'coding system design', 'programming system design']",en-CA,False,UC4JX40jDee_tINbkjycV4Sg,Tech With Tim
Y_0ReCfEDck,The Perfect Beginner Programming Project Idea,2023-04-17T13:00:22Z,21319,1373,8,PT34S,hd,"['tech with tim', 'beginner programming', 'programming projects', 'coding for beginners', 'tech', 'technology', 'beginner programming projects']",en-CA,False,UC4JX40jDee_tINbkjycV4Sg,Tech With Tim
Ev752v9bOak,A GREAT Python Resume Project Idea,2023-02-24T14:00:11Z,82572,5239,30,PT40S,hd,"['tech with tim', 'programming', 'coding', 'software engineering', 'python', 'tech with tim python', 'python programming', 'python coding ideas', 'python project ideas', 'resume project ideas', 'python projects', 'best python project ideas', 'python resume projects']",en-CA,False,UC4JX40jDee_tINbkjycV4Sg,Tech With Tim
ravzCiGpZ28,My Top Tips For Computer Science Students,2023-05-16T13:00:46Z,427344,20318,377,PT54S,hd,['tech with tim'],en-CA,False,UC4JX40jDee_tINbkjycV4Sg,Tech With Tim
U80grnZJm_8,Avoid This Common Programming Mistake!,2023-07-23T22:03:47Z,228425,11363,97,PT53S,hd,['tech with tim'],en-CA,False,UC4JX40jDee_tINbkjycV4Sg,Tech With Tim
MDb5vODM1r8,Becoming a Self-Taught Developer,2023-05-12T13:00:13Z,42025,3140,51,PT54S,hd,['tech with tim'],en-CA,False,UC4JX40jDee_tINbkjycV4Sg,Tech With Tim
P--Eaq2QjNQ,This Coding Project Gives You an UNFAIR Advantage,2023-11-14T13:44:32Z,95589,5582,56,PT1M,hd,['tech with tim'],en-CA,False,UC4JX40jDee_tINbkjycV4Sg,Tech With Tim
qYD68F0yQSA,The BEST Machine Learning Resume Project!,2023-02-26T14:00:24Z,61950,3135,10,PT45S,hd,"['tech with tim', 'programming', 'coding', 'machine learning', 'machine learning projects', 'machine learning resume projects', 'machine learning project ideas', 'ai project ideas', 'python machine learning', 'python machine learning project ideas', 'ai projects python', 'machine learning projects python', 'python', 'tech with tim python', 'tech with tim machine learning']",en-CA,False,UC4JX40jDee_tINbkjycV4Sg,Tech With Tim
NgIWu-lDucM,zip() in Python - Combine Iterables Together,2021-09-28T16:09:56Z,68221,4812,88,PT1M,hd,"['tech with tim', 'zip()', 'zip function python', 'zip() in python', 'zip() python', 'python zip()', 'python zip function', 'python', 'zip', 'zip python', 'zip tutorial python', 'python shorts', 'tech with tim shorts', 'how to use zip() python', 'zip() python tutorial', 'python tutorial', 'tech with tim tutorial', 'python zip']",en-CA,False,UC4JX40jDee_tINbkjycV4Sg,Tech With Tim
RRLYK3emhJg,How I Prepared For Microsoft and Shopify Coding Interviews,2023-05-14T13:00:26Z,44874,3361,19,PT1M,hd,['tech with tim'],en-CA,False,UC4JX40jDee_tINbkjycV4Sg,Tech With Tim
i43W0XSiuIE,What is TypeScript and Should You Learn it?,2020-05-30T13:00:17Z,112658,3717,145,PT6M39S,hd,"['what is typescript', 'tech with tim', 'typescript explained', 'typescript', 'what is typescript used for', 'typescript vs javascript', 'why typescript', 'is typescript better than javascript', 'is typescript worth it', 'typescript 2020', 'learn typescript', 'typescript for beginners', 'ts', 'what is typescript js', 'what is typescript javascript', 'should you learn typescript', 'why do we usetypescript', 'typescript basics']",en,False,UC4JX40jDee_tINbkjycV4Sg,Tech With Tim
XVcRQ6T9RHo,The Python Global Interpreter Lock - Explained,2023-06-06T13:00:32Z,47203,1854,83,PT4M57S,hd,"['tech with tim', 'programming', 'The GIL', 'Python', 'issues with Python', 'learn to code online', 'common problems with programming', 'python single threaded', 'python multithreading', 'computer science', 'mathematics', 'artificial intelligence', 'global interpreter lock', 'math podcast', 'machine learning', 'python', 'python multiprocessing', 'pythin gil', 'python parallel processing', 'multi process', 'deep learning', 'software engineering', 'lex clips', 'engineering', 'tech podcast']",en-CA,False,UC4JX40jDee_tINbkjycV4Sg,Tech With Tim
9zKDWiiHLmM,The Truth About Machine Learning and AI Revealed,2023-04-20T13:00:11Z,15325,953,14,PT45S,hd,"['tech with tim', 'machine learning', 'artificial intelligence', 'AI', 'data science', 'neural networks', 'deep learning', 'predictive modeling', 'natural language processing', 'computer vision', 'robotics']",en-CA,False,UC4JX40jDee_tINbkjycV4Sg,Tech With Tim
olYdb0DdGtM,"Threading Tutorial #1 - Concurrency, Threading and Parallelism Explained",2020-03-13T18:44:43Z,187541,5722,167,PT11M34S,hd,"['tech with tim', 'threading tutorial for beginners', 'java threading and concurrency', 'concurrency vs parallelism', 'what is a thread', 'how does threading work', 'concurrent programming', 'threading explained']",en,False,UC4JX40jDee_tINbkjycV4Sg,Tech With Tim
_lMUYQ0PQ0U,5 Python Modules Every Web Developer Must Learn,2023-04-27T13:00:33Z,63989,5669,36,PT42S,hd,['tech with tim'],en-CA,False,UC4JX40jDee_tINbkjycV4Sg,Tech With Tim
-51jxlQaxyA,How To Use JSON In Python,2022-01-25T16:00:01Z,106820,3255,62,PT6M11S,hd,"['tech with tim', 'how to use json in python', 'json', 'what is json', 'what does json stand for', 'how to use json', 'python', 'json and python', 'json in python', 'loading json strings', 'creating json strings', 'json strings', 'reading json files', 'json files', 'writing json to a file', 'javascript', 'jason', 'coding with json', 'programming with json', 'how to load a json string', 'how to create a json string', 'how to write json to a file', 'how to read json files', 'what are json files']",en-CA,False,UC4JX40jDee_tINbkjycV4Sg,Tech With Tim
rBamvYwO3gg,f-Strings in Python - String Formatting,2021-10-11T15:00:29Z,50844,3369,35,PT55S,hd,"['tech with tim', 'tech with tim tutorial', 'python', 'python f strings', 'f strings python', 'python string formatting', 'f string', 'F strings', 'f string python tutorial', 'how to use f strings', 'f strings python tutorial', 'python shorts', 'tech with tim shorts', 'python tutorial', 'shorts', 'f string decimal places', 'f string escape bracket']",en-CA,False,UC4JX40jDee_tINbkjycV4Sg,Tech With Tim
YZ8-GmTT7uM,How Important Is Math For Machine Learning?,2023-08-09T23:18:00Z,39931,2756,59,PT48S,hd,['tech with tim'],en-CA,False,UC4JX40jDee_tINbkjycV4Sg,Tech With Tim
