video_id,title,published,view_count,like_count,comment_count,duration,definition,tags,default_audio_language,madeforkid,channel_id,channelTitle
R3X6rk1bWF0,How To Create CUSTOM GPTs Easily (Full Tutorial) (For Beginners) Build and sell AI agents,2023-11-07T20:30:03Z,154404,3577,208,PT18M43S,hd,,,False,UCbY9xX3_jW5c2fjlZVBI4cg,TheAiGrid
S3fhqevTByk,Disneys New 'AI Robots' Are Way Too Advanced.,2023-10-19T15:15:02Z,331505,2811,351,PT9M57S,hd,,,False,UCbY9xX3_jW5c2fjlZVBI4cg,TheAiGrid
-a6E-r8W2Bs,Googles GEMINI Just SHOCKED The ENTIRE INDUSTRY! (GPT-4 Beaten) Full Breakdown + Technical Report,2023-12-06T18:15:01Z,3040416,28221,1854,PT30M43S,hd,,,False,UCbY9xX3_jW5c2fjlZVBI4cg,TheAiGrid
6Tnb-D2Ktok,OpenAi's New Q* (Qstar) Breakthrough Explained For Beginners (GPT- 5),2023-11-24T13:00:04Z,223633,2587,323,PT15M40S,hd,,,False,UCbY9xX3_jW5c2fjlZVBI4cg,TheAiGrid
Bs12qKZ_6_8,5 MINUTES AGO : OpenAI's LEAKED Details Just Shocked Everyone (Everything Revealed),2023-11-21T06:42:44Z,157005,3486,545,PT15M37S,hd,,,False,UCbY9xX3_jW5c2fjlZVBI4cg,TheAiGrid
X5jv5K1yx_U,Open AI's New STATEMENT Changes EVERYTHING! (NEW UPDATE!),2023-11-19T18:44:42Z,101114,2141,406,PT13M35S,hd,,,False,UCbY9xX3_jW5c2fjlZVBI4cg,TheAiGrid
F95s2bLMNIY,Get Ready for 15 SHOCKING Changes After the Singularity (AGI IS NEAR!),2023-04-09T22:20:39Z,144984,2438,415,PT17M30S,hd,,,False,UCbY9xX3_jW5c2fjlZVBI4cg,TheAiGrid
2kWH3Ieqzm0,We Should ALL Be Worred About Boston Dynamics,2023-03-02T14:15:00Z,292463,3525,522,PT17M27S,hd,,,False,UCbY9xX3_jW5c2fjlZVBI4cg,TheAiGrid
suNBENzW3Gg,Life After AGI (Universal Basic Income),2023-07-25T16:00:46Z,12581,360,134,PT11M21S,hd,,,False,UCbY9xX3_jW5c2fjlZVBI4cg,TheAiGrid
Lft0J8sgwS4,How to Use NEW Google Gemini Bard (Full Google Gemini AI Tutorial),2023-12-04T16:11:45Z,150722,1640,71,PT14M45S,hd,,,False,UCbY9xX3_jW5c2fjlZVBI4cg,TheAiGrid
HwUt9ZRziBE,10 Secret Bard Tips And Tricks (How To Use Google Bard)(Google Bard Tutorial),2023-03-29T16:15:01Z,31648,460,28,PT15M53S,hd,,,False,UCbY9xX3_jW5c2fjlZVBI4cg,TheAiGrid
JVKG6K5203I,Googles ALPHACODE-2 Just SHOCKED The ENTIRE INDUSTRY! Full Breakdown + Technical Report,2023-12-07T16:06:08Z,25525,431,60,PT14M39S,hd,,,False,UCbY9xX3_jW5c2fjlZVBI4cg,TheAiGrid
gFp18nW7p34,Top 10 NEW Humanoid Robots 2023/2024,2023-10-23T16:15:02Z,41552,555,91,PT21M1S,hd,,,False,UCbY9xX3_jW5c2fjlZVBI4cg,TheAiGrid
M4TbfpGUagY,How to Use NEW Midjourney V6 (Full Midjourney v6 Tutorial) (Dalle -3 KILLER),2023-12-23T09:07:08Z,16748,223,19,PT24M19S,hd,,,False,UCbY9xX3_jW5c2fjlZVBI4cg,TheAiGrid
Dv4yBH5dwtY,GPT 5 Is Now In Training (Open AI GPT-5 Announcement),2023-11-14T22:00:07Z,54263,1009,164,PT21M44S,hd,,,False,UCbY9xX3_jW5c2fjlZVBI4cg,TheAiGrid
xHtLD-69Z28,How to Use New Claude 2.1 (Full Claude AI Tutorial),2023-11-29T01:32:57Z,39033,514,27,PT21M2S,hd,,,False,UCbY9xX3_jW5c2fjlZVBI4cg,TheAiGrid
aoWIR8MS_EM,12 New CREATIVE Custom GPTS (Copy These) Custom GPT Ideas,2023-11-11T21:25:13Z,42693,1105,88,PT16M39S,hd,,,False,UCbY9xX3_jW5c2fjlZVBI4cg,TheAiGrid
-lVte7lUT5M,Elon Musk’s Disturbing Prediction About AI,2023-10-17T15:15:00Z,112787,1374,436,PT20M21S,hd,,,False,UCbY9xX3_jW5c2fjlZVBI4cg,TheAiGrid
FRikw-dAvDQ,"New AI Agents, Quantum Computing, Upgrades, AI Upscale, Text To Video (Major AI NEWS#20)",2023-12-08T18:02:50Z,29289,670,61,PT33M45S,hd,,,False,UCbY9xX3_jW5c2fjlZVBI4cg,TheAiGrid
iGW4btk34yQ,2024 AI : 10 Things Coming In 2024 (A.I In 2024 Major Predictions),2023-12-09T16:00:34Z,254784,3686,274,PT37M15S,hd,,,False,UCbY9xX3_jW5c2fjlZVBI4cg,TheAiGrid
dLfJuhGTmpE,The Secret To AGI - Synthetic Data,2023-12-10T16:00:20Z,22136,530,63,PT23M31S,hd,,,False,UCbY9xX3_jW5c2fjlZVBI4cg,TheAiGrid
PxrYD9x3V4E,"Major AI News #23 - Google Gemini -2 , Major ChatGPT Breaches, Google Text To Image And More",2023-12-18T06:25:32Z,45099,889,118,PT29M35S,hd,,,False,UCbY9xX3_jW5c2fjlZVBI4cg,TheAiGrid
c0fNbXSmVwo,Deepmind's New AI GNoME Just Changed EVERYTHING! (Materials Breakthrough),2023-12-05T16:30:11Z,21200,509,84,PT10M32S,hd,,,False,UCbY9xX3_jW5c2fjlZVBI4cg,TheAiGrid
MM9x1iUG3hQ,Teslas OPTIMUS GEN-2 Just SHOCKED The ENTIRE INDUSTRY! Full Breakdown + Technical Report,2023-12-14T19:30:02Z,238998,2887,258,PT11M30S,hd,,,False,UCbY9xX3_jW5c2fjlZVBI4cg,TheAiGrid
RhaRTYH-omE,Open AI's New STATEMENT Just Shocked Everyone (MAJOR UPDATE!),2023-11-18T19:46:53Z,93835,2323,422,PT23M7S,hd,,,False,UCbY9xX3_jW5c2fjlZVBI4cg,TheAiGrid
wkNAxp3dXFY,Google's  NEW GEMINI Takes the Industry By STORM! (NOW ANNOUNCED!),2023-05-14T15:15:03Z,98783,1361,297,PT10M49S,hd,,,False,UCbY9xX3_jW5c2fjlZVBI4cg,TheAiGrid
iEp3CzKtsyg,"Major AI NEWS#19 (GPT-6 News, Amazons New Q Model, Realtime AI Conversations and More)",2023-11-29T17:15:02Z,38299,1013,112,PT23M1S,hd,,,False,UCbY9xX3_jW5c2fjlZVBI4cg,TheAiGrid
