video_id,title,published,view_count,like_count,comment_count,duration,definition,tags,default_audio_language,madeforkid,channel_id,channelTitle
kfjH9nHve-8,This Attitude YOU NEED in Data Field! 📈✅ #codebasics #shorts #dataanalysis #data,2023-09-15T12:30:24Z,53311,3224,35,PT55S,hd,"['career tip', 'problem solver', 'art of getting help', 'get help']",en,False,UCh9nVJoWXmFb7sLApWGcLPQ,codebasics
vBzygcF_Vpk,STOP being Data Analyst 1.0,2023-11-16T12:45:05Z,10429,786,22,PT30S,hd,,en,False,UCh9nVJoWXmFb7sLApWGcLPQ,codebasics
fIsXdtcn09U,"The real importance of a degree in data science, software engineering interview",2021-11-30T16:32:04Z,69582,2736,44,PT16S,hd,"['data science career', 'software engineering interview', 'data science interview', 'data science degree', 'computer science degree']",en,False,UCh9nVJoWXmFb7sLApWGcLPQ,codebasics
PD92bKBnmJA,NEVER do this mistake!,2023-12-14T12:30:11Z,6875,470,4,PT52S,hd,,en,False,UCh9nVJoWXmFb7sLApWGcLPQ,codebasics
V4AcLJ2cgmU,Parameters vs hyperparameters in machine learning,2021-01-21T15:30:10Z,39233,898,33,PT1M19S,hd,"['yt:cc=on', 'parameters vs hyperparameters machine learning', 'hyperparameter tuning', 'hyperparameters in machine learning', 'hyperparameters', 'hyperparameters machine learning', 'parameters vs hyperparameters', 'parameters and hyperparameters', 'parameters or hyperparameters', 'hyperparameters vs parameters', 'hyperparameters or parameters', 'hyperparameters and parameters', 'hyperparameter', 'parameters in machine learning', 'machine learning parameters']",en,False,UCh9nVJoWXmFb7sLApWGcLPQ,codebasics
R6u5EBWAssY,"Reality behind data science, machine learning jobs",2022-02-16T12:55:12Z,1418361,64800,461,PT53S,hd,"['data science and machine learning', 'data scientist jobs', 'data science jobs', 'data scientist day in the life', 'data scientist job description', 'yt:cc=on', 'data science', 'data scientist salary', 'data scientist', 'data analytics', 'career advice', 'career advice for young people', 'Data science for beginners', 'python data science', 'data science jobs for freshers', 'Data scientist salary in india', 'data science career', 'amazon data scientist', 'data science job', 'data scientist job']",en,False,UCh9nVJoWXmFb7sLApWGcLPQ,codebasics
PAAg9KHs0uI,Python Project For Your Resume: Grocery Store Management System,2023-11-22T12:30:21Z,7424,729,5,PT28S,hd,,en,False,UCh9nVJoWXmFb7sLApWGcLPQ,codebasics
hQvCOBv_-LE,What is STAR schema | Star vs Snowflake Schema | Fact vs Dimension Table,2023-02-16T13:30:09Z,70324,3406,103,PT6M59S,hd,,en,False,UCh9nVJoWXmFb7sLApWGcLPQ,codebasics
z-ZR_8BZ1wQ,"Pytorch vs Tensorflow vs Keras | Deep Learning Tutorial 6 (Tensorflow Tutorial, Keras & Python)",2020-07-17T12:30:57Z,178593,2687,49,PT2M17S,hd,"['kera tutorial', 'pytorch vs tensorflow', 'pytorch vs tensorflow vs keras', 'tensorflow vs keras', 'keras', 'tensorflow vs pytorch', 'keras vs tensorflow', 'pytorch', 'keras tutorial', 'keras vs tensorflow vs pytorch', 'keras vs pytorch', 'tensorflow', 'deep learnign with keras tensorflow and pytorch', 'deep learning keras', 'pytorch vs tensorflow for beginners', 'pytorch vs tensorflow performance', 'pytorch and tensorflow difference', 'tensorflow vs Keras difference', 'difference between pytorch keras tensorflow']",en,False,UCh9nVJoWXmFb7sLApWGcLPQ,codebasics
taC5pMCm70U,Image classification vs Object detection vs Image Segmentation | Deep Learning Tutorial 28,2020-11-30T13:30:04Z,85695,1861,39,PT2M32S,hd,"['yt:cc=on', 'image segmentation', 'what is image segmentation', 'what is object detection', 'object detection', 'image classification', 'image recognition', 'image recognition deep learning', 'image classification vs image segmentation', 'image segmentation vs image classification', 'image classification deep learning', 'image classification using cnn', 'image classification vs object detection', 'deep learning image classification', 'object detection vs image segmentation', 'object detection deep learning']",en,False,UCh9nVJoWXmFb7sLApWGcLPQ,codebasics
