video_id,title,published,view_count,like_count,comment_count,duration,definition,tags,default_audio_language,madeforkid,channel_id,channelTitle
iv5m0c-8Opc,"Tuples, Strings, Loops - Python 3 Programming Tutorial p.2",2018-10-28T15:58:21Z,251506,4658,210,PT10M50S,hd,"['python', 'python3', 'tutorial']",en,False,UCfzlCWGWYyIQ0aLC5w48gBQ,sentdex
Wo5dMEP_BbI,Neural Networks from Scratch - P.1 Intro and Neuron Code,2020-04-11T13:49:09Z,1270851,31906,1616,PT16M59S,hd,"['neural networks', 'deep learning', 'python', 'nnfs', 'machine learning']",en,False,UCfzlCWGWYyIQ0aLC5w48gBQ,sentdex
BVWmstt0AWM,Home Lab Build - P.2 - Rack has evolved!,2022-07-01T14:40:12Z,218905,5189,183,PT11M21S,hd,"['python', 'programming']",en,False,UCfzlCWGWYyIQ0aLC5w48gBQ,sentdex
CIQ20FWs478,Home Lab Build - P.1 - Building a NAS,2022-06-15T13:27:20Z,90035,2495,123,PT17M7S,hd,"['python', 'programming']",en,False,UCfzlCWGWYyIQ0aLC5w48gBQ,sentdex
wQ8BIBpya2k,"Deep Learning with Python, TensorFlow, and Keras tutorial",2018-08-11T14:17:31Z,1250415,21247,1475,PT20M34S,hd,"['deep learning', 'keras', 'TensorFlow', 'machine learning', 'neural network', 'tutorial']",en,False,UCfzlCWGWYyIQ0aLC5w48gBQ,sentdex
0lOSvOoF2to,OpenAI GPT-4 Function Calling: Unlimited Potential,2023-06-15T00:14:31Z,219013,4623,327,PT23M49S,hd,"['python', 'programming']",en,False,UCfzlCWGWYyIQ0aLC5w48gBQ,sentdex
q59wap1ELQ4,A. I. Learns to Play Starcraft 2 (Reinforcement Learning),2022-04-23T15:05:05Z,408396,10343,307,PT17M42S,hd,"['python', 'programming', 'starcraft 2', 'AI', 'reinforcement learning', 'artificial intelligence']",en,False,UCfzlCWGWYyIQ0aLC5w48gBQ,sentdex
42MBMSOZgD4,Python 3 Programming Tutorial: If Elif Else,2014-01-23T20:08:54Z,298135,3337,158,PT4M19S,hd,"['Python (Software)', 'if elif else', 'if', 'elif', 'else', 'programming', 'tutorial', 'basics', 'python 3', 'python 3.3', 'python 3.4', 'python 2 and 3', 'python 2.7', '2.7', '3.3', '3.4', 'Python (Programming Language)', 'Computer Programming (Conference Subject)']",,False,UCfzlCWGWYyIQ0aLC5w48gBQ,sentdex
qf0sfRZ0hHc,Python 3 Programming Tutorial: If Else,2014-01-23T20:08:45Z,262684,2175,119,PT3M20S,hd,"['Python (Software)', 'if', 'else', 'if else', 'programming', 'tutorial', 'basics', 'python 3', 'python 3.3', 'python 3.4', 'python 2 and 3', 'python 2.7', '2.7', '3.3', '3.4', 'Python (Programming Language)', 'Computer Programming (Conference Subject)', 'Conditional']",,False,UCfzlCWGWYyIQ0aLC5w48gBQ,sentdex
eXBD2bB9-RA,Introduction to Python 3 Programming Tutorial,2018-10-27T15:58:41Z,602883,7912,466,PT13M33S,hd,"['python', 'python3', 'tutorial']",en,False,UCfzlCWGWYyIQ0aLC5w48gBQ,sentdex
XbWhJdQgi7E,Reinforcement Learning with Stable Baselines 3 - Introduction (P.1),2022-02-05T15:56:01Z,73053,1569,85,PT23M12S,hd,"['python', 'programming']",en,False,UCfzlCWGWYyIQ0aLC5w48gBQ,sentdex
lGLto9Xd7bU,Neural Networks from Scratch - P.2 Coding a Layer,2020-04-17T13:57:47Z,373406,11220,753,PT15M6S,hd,"['neural networks', 'deep learning', 'python', 'nnfs', 'machine learning']",en,False,UCfzlCWGWYyIQ0aLC5w48gBQ,sentdex
