,video_id,video_title,upload_date,view_count,like_count,comment_count
0,cjVS7YSAu04,How to Design an Effective Data Visualization Dashboard?,2023-12-03,140,29,1
1,a12Q35lN1UA,Career Gap to Data Analytics Lead @ Google!,2023-12-02,5058,301,9
2,AOggOfOoH1E,How much statistics do data analyst need?,2023-12-01,3859,351,6
3,YscmLNPKKCQ,Hack for fast learning!,2023-11-30,3508,208,5
4,0STljcKAHKY,Watch till the end....,2023-11-29,7262,179,12
5,tURuHBxpRxc,Future of Data Analytics!,2023-11-28,2302,149,3
6,nSyDNTPoAAg,Data Science Resume Project: ChatBot Using Dialogflow!,2023-11-26,4517,370,6
7,odS-6Yt8r7E,Surprise Alert!,2023-11-24,5025,173,50
8,Km2ZEgJmR3o,Is Data Analyst a Good Career?,2023-11-23,62127,1805,243
9,CwoldAqcJQA,Do you still need Excel?,2023-11-23,4920,279,1
10,PAAg9KHs0uI,Python Project For Your Resume: Grocery Store Management System,2023-11-22,6694,674,5
11,zgnYyIkD4dw,Landing a data job with career gap!,2023-11-21,4748,404,4
12,Vqn1Vn9Pzr4,Data Analyst or Data Scientist?,2023-11-20,7087,347,16
13,ljO7Iln9xM4,Your salary increment depends on THIS!,2023-11-19,4413,232,0
14,hcxLe5XOdWE,OLTP vs. OLAP!,2023-11-18,3171,230,1
15,tWn423UcgLs,Surprise Announcement 📢,2023-11-17,5353,268,26
16,vBzygcF_Vpk,STOP being Data Analyst 1.0,2023-11-16,9634,747,19
17,rv0Gca8cbmU,Confused Between Data Analyt or Data Scientist?,2023-11-15,7981,450,7
18,VxBx8la8ayg,Data Analytics Project Idea: Revenue Insights,2023-11-14,5253,587,9
19,IoxdtW7Ankw,Drop your guesses in the comments!,2023-11-12,3664,86,8
20,1zPjVS5SIAc,B.Com to 5 Data Analyst Job Offers!,2023-11-11,23799,731,68
21,DsUjC6j3xWE,What is Power BI?,2023-11-11,7675,355,5
